mag,rho,eff_rd
15.4,3.162,1.875
15.6,3.162,1.875
15.8,3.162,3.125
16.0,3.162,0.625
16.2,3.162,1.25
16.4,3.162,3.75
16.6,3.162,1.875
16.8,3.162,1.875
17.0,3.162,1.25
17.2,3.162,0.625
17.4,3.162,2.5
17.6,3.162,4.375
17.8,3.162,8.125
18.0,3.162,5.625
18.2,3.162,10.625
18.4,3.162,18.125
18.6,3.162,18.75
18.8,3.162,34.375
19.0,3.162,35.625
19.2,3.162,35.0
19.4,3.162,35.0
19.6,3.162,33.75
19.8,3.162,35.625
20.0,3.162,38.75
20.2,3.162,35.0
20.4,3.162,30.0
20.6,3.162,33.125
20.8,3.162,33.125
21.0,3.162,26.875
21.2,3.162,20.0
21.4,3.162,13.125
21.6,3.162,8.75
21.8,3.162,10.625
22.0,3.162,8.125
22.2,3.162,4.375
22.4,3.162,3.75
15.4,3.548,0.625
15.6,3.548,3.125
15.8,3.548,1.875
16.0,3.548,0.0
16.2,3.548,2.5
16.4,3.548,0.0
16.6,3.548,3.125
16.8,3.548,1.875
17.0,3.548,2.5
17.2,3.548,1.875
17.4,3.548,4.375
17.6,3.548,6.875
17.8,3.548,11.875
18.0,3.548,21.25
18.2,3.548,35.0
18.4,3.548,35.0
18.6,3.548,48.75
18.8,3.548,50.625
19.0,3.548,51.25
19.2,3.548,48.75
19.4,3.548,56.875
19.6,3.548,61.875
19.8,3.548,51.875
20.0,3.548,46.25
20.2,3.548,50.625
20.4,3.548,45.625
20.6,3.548,40.0
20.8,3.548,33.75
21.0,3.548,30.0
21.2,3.548,22.5
21.4,3.548,14.375
21.6,3.548,15.0
21.8,3.548,9.375
22.0,3.548,6.875
22.2,3.548,3.125
22.4,3.548,5.0
15.4,4.467,0.625
15.6,4.467,3.75
15.8,4.467,4.375
16.0,4.467,1.25
16.2,4.467,1.25
16.4,4.467,0.625
16.6,4.467,1.25
16.8,4.467,1.25
17.0,4.467,3.125
17.2,4.467,11.25
17.4,4.467,15.0
17.6,4.467,33.125
17.8,4.467,42.5
18.0,4.467,51.25
18.2,4.467,56.25
18.4,4.467,63.75
18.6,4.467,60.0
18.8,4.467,70.625
19.0,4.467,70.625
19.2,4.467,66.875
19.4,4.467,67.5
19.6,4.467,71.875
19.8,4.467,74.375
20.0,4.467,62.5
20.2,4.467,70.625
20.4,4.467,61.875
20.6,4.467,71.25
20.8,4.467,60.0
21.0,4.467,46.25
21.2,4.467,39.375
21.4,4.467,30.625
21.6,4.467,19.375
21.8,4.467,10.625
22.0,4.467,8.125
22.2,4.467,2.5
22.4,4.467,3.125
15.4,5.012,2.5
15.6,5.012,2.5
15.8,5.012,0.625
16.0,5.012,2.5
16.2,5.012,1.875
16.4,5.012,1.875
16.6,5.012,2.5
16.8,5.012,5.625
17.0,5.012,9.375
17.2,5.012,27.5
17.4,5.012,41.875
17.6,5.012,52.5
17.8,5.012,63.125
18.0,5.012,59.375
18.2,5.012,68.75
18.4,5.012,73.75
18.6,5.012,76.875
18.8,5.012,74.375
19.0,5.012,85.625
19.2,5.012,86.25
19.4,5.012,78.125
19.6,5.012,75.625
19.8,5.012,81.25
20.0,5.012,78.75
20.2,5.012,72.5
20.4,5.012,71.875
20.6,5.012,65.625
20.8,5.012,58.75
21.0,5.012,46.875
21.2,5.012,43.75
21.4,5.012,33.75
21.6,5.012,25.0
21.8,5.012,13.125
22.0,5.012,7.5
22.2,5.012,4.375
22.4,5.012,5.625
15.4,6.31,1.875
15.6,6.31,0.625
15.8,6.31,0.625
16.0,6.31,1.25
16.2,6.31,1.875
16.4,6.31,3.125
16.6,6.31,11.875
16.8,6.31,25.0
17.0,6.31,38.75
17.2,6.31,55.0
17.4,6.31,70.0
17.6,6.31,76.875
17.8,6.31,80.0
18.0,6.31,85.625
18.2,6.31,86.875
18.4,6.31,86.875
18.6,6.31,87.5
18.8,6.31,85.625
19.0,6.31,89.375
19.2,6.31,93.125
19.4,6.31,84.375
19.6,6.31,84.375
19.8,6.31,82.5
20.0,6.31,81.25
20.2,6.31,84.375
20.4,6.31,75.625
20.6,6.31,76.875
20.8,6.31,74.375
21.0,6.31,56.25
21.2,6.31,47.5
21.4,6.31,34.375
21.6,6.31,30.0
21.8,6.31,13.125
22.0,6.31,5.625
22.2,6.31,6.875
22.4,6.31,5.0
15.4,7.943,0.625
15.6,7.943,1.875
15.8,7.943,1.25
16.0,7.943,3.125
16.2,7.943,7.5
16.4,7.943,16.25
16.6,7.943,35.625
16.8,7.943,60.0
17.0,7.943,73.125
17.2,7.943,80.625
17.4,7.943,84.375
17.6,7.943,91.875
17.8,7.943,95.0
18.0,7.943,90.0
18.2,7.943,90.625
18.4,7.943,91.875
18.6,7.943,93.125
18.8,7.943,89.375
19.0,7.943,90.0
19.2,7.943,87.5
19.4,7.943,89.375
19.6,7.943,90.0
19.8,7.943,91.25
20.0,7.943,89.375
20.2,7.943,86.25
20.4,7.943,85.625
20.6,7.943,81.25
20.8,7.943,79.375
21.0,7.943,61.875
21.2,7.943,53.75
21.4,7.943,31.875
21.6,7.943,15.0
21.8,7.943,15.625
22.0,7.943,9.375
22.2,7.943,5.625
22.4,7.943,6.25
15.4,10.0,2.5
15.6,10.0,5.0
15.8,10.0,1.25
16.0,10.0,6.25
16.2,10.0,23.125
16.4,10.0,56.25
16.6,10.0,73.125
16.8,10.0,78.125
17.0,10.0,93.75
17.2,10.0,93.125
17.4,10.0,93.75
17.6,10.0,94.375
17.8,10.0,93.75
18.0,10.0,93.125
18.2,10.0,91.25
18.4,10.0,95.625
18.6,10.0,96.875
18.8,10.0,89.375
19.0,10.0,95.625
19.2,10.0,94.375
19.4,10.0,95.0
19.6,10.0,90.625
19.8,10.0,91.875
20.0,10.0,90.0
20.2,10.0,89.375
20.4,10.0,86.25
20.6,10.0,83.75
20.8,10.0,78.75
21.0,10.0,61.25
21.2,10.0,51.25
21.4,10.0,31.25
21.6,10.0,25.625
21.8,10.0,19.375
22.0,10.0,10.625
22.2,10.0,5.0
22.4,10.0,5.0
15.4,12.589,1.875
15.6,12.589,3.75
15.8,12.589,10.625
16.0,12.589,27.5
16.2,12.589,69.375
16.4,12.589,83.75
16.6,12.589,91.875
16.8,12.589,90.625
17.0,12.589,94.375
17.2,12.589,95.625
17.4,12.589,93.125
17.6,12.589,93.75
17.8,12.589,95.625
18.0,12.589,94.375
18.2,12.589,93.75
18.4,12.589,95.625
18.6,12.589,95.625
18.8,12.589,96.875
19.0,12.589,97.5
19.2,12.589,93.75
19.4,12.589,96.25
19.6,12.589,91.25
19.8,12.589,88.75
20.0,12.589,92.5
20.2,12.589,91.25
20.4,12.589,92.5
20.6,12.589,81.875
20.8,12.589,71.25
21.0,12.589,59.375
21.2,12.589,45.625
21.4,12.589,32.5
21.6,12.589,18.125
21.8,12.589,12.5
22.0,12.589,8.75
22.2,12.589,5.625
22.4,12.589,6.25
15.4,17.783,14.375
15.6,17.783,26.875
15.8,17.783,60.625
16.0,17.783,90.0
16.2,17.783,96.25
16.4,17.783,93.75
16.6,17.783,96.25
16.8,17.783,96.25
17.0,17.783,96.25
17.2,17.783,91.875
17.4,17.783,95.625
17.6,17.783,95.625
17.8,17.783,95.0
18.0,17.783,99.375
18.2,17.783,94.375
18.4,17.783,93.125
18.6,17.783,96.25
18.8,17.783,95.625
19.0,17.783,96.25
19.2,17.783,96.25
19.4,17.783,96.25
19.6,17.783,88.75
19.8,17.783,96.875
20.0,17.783,90.625
20.2,17.783,92.5
20.4,17.783,90.0
20.6,17.783,86.25
20.8,17.783,67.5
21.0,17.783,60.625
21.2,17.783,41.875
21.4,17.783,35.625
21.6,17.783,13.125
21.8,17.783,13.125
22.0,17.783,13.125
22.2,17.783,5.0
22.4,17.783,6.25
15.4,25.119,70.625
15.6,25.119,85.0
15.8,25.119,93.125
16.0,25.119,91.25
16.2,25.119,94.375
16.4,25.119,96.875
16.6,25.119,93.125
16.8,25.119,93.125
17.0,25.119,96.875
17.2,25.119,95.625
17.4,25.119,98.75
17.6,25.119,96.25
17.8,25.119,95.625
18.0,25.119,95.625
18.2,25.119,97.5
18.4,25.119,96.25
18.6,25.119,95.0
18.8,25.119,92.5
19.0,25.119,94.375
19.2,25.119,92.5
19.4,25.119,95.625
19.6,25.119,92.5
19.8,25.119,91.875
20.0,25.119,95.625
20.2,25.119,93.125
20.4,25.119,88.125
