#Column 1: Magnitude of injected artificial galaxy 
#Column 2: Effective radius in arcsecsonds of the injected artificial galaxy 
#Column 3: The algroithm's percentage (0 to 100) of objects recovered 
#Column 4: The number of artificial galaxies injected 
mag,rho,eff_rd, n_inj 
15.2, 2.62, 0.625, 160
15.4, 2.62, 1.25, 160
15.6, 2.62, 0.625, 160
15.8, 2.62, 1.875, 160
16.0, 2.62, 0.625, 160
16.2, 2.62, 2.5, 160
16.4, 2.62, 1.25, 160
16.6, 2.62, 3.125, 160
16.8, 2.62, 0.625, 160
17.0, 2.62, 0.0, 160
17.2, 2.62, 0.625, 160
17.4, 2.62, 4.375, 160
17.6, 2.62, 1.25, 160
17.8, 2.62, 0.625, 160
18.0, 2.62, 6.25, 160
18.2, 2.62, 3.125, 160
18.4, 2.62, 8.125, 160
18.6, 2.62, 17.5, 160
18.8, 2.62, 18.75, 160
19.0, 2.62, 27.5, 160
19.2, 2.62, 26.875, 160
19.4, 2.62, 29.375, 160
19.6, 2.62, 26.875, 160
19.8, 2.62, 34.375, 160
20.0, 2.62, 25.0, 160
20.2, 2.62, 28.75, 160
20.4, 2.62, 28.125, 160
20.6, 2.62, 20.625, 160
20.8, 2.62, 26.875, 160
21.0, 2.62, 21.875, 160
21.2, 2.62, 13.125, 160
21.4, 2.62, 15.625, 160
21.6, 2.62, 9.375, 160
21.8, 2.62, 8.125, 160
22.0, 2.62, 6.25, 160
22.2, 2.62, 4.375, 160
22.4, 2.62, 4.375, 160
15.2, 2.882, 1.875, 160
15.4, 2.882, 1.875, 160
15.6, 2.882, 2.5, 160
15.8, 2.882, 1.875, 160
16.0, 2.882, 0.625, 160
16.2, 2.882, 0.625, 160
16.4, 2.882, 1.875, 160
16.6, 2.882, 0.625, 160
16.8, 2.882, 1.875, 160
17.0, 2.882, 3.75, 160
17.2, 2.882, 3.125, 160
17.4, 2.882, 0.0, 160
17.6, 2.882, 0.625, 160
17.8, 2.882, 6.875, 160
18.0, 2.882, 10.0, 160
18.2, 2.882, 20.0, 160
18.4, 2.882, 25.0, 160
18.6, 2.882, 39.375, 160
18.8, 2.882, 35.0, 160
19.0, 2.882, 43.125, 160
19.2, 2.882, 39.375, 160
19.4, 2.882, 43.125, 160
19.6, 2.882, 41.875, 160
19.8, 2.882, 43.75, 160
20.0, 2.882, 38.125, 160
20.2, 2.882, 40.0, 160
20.4, 2.882, 38.125, 160
20.6, 2.882, 39.375, 160
20.8, 2.882, 36.25, 160
21.0, 2.882, 32.5, 160
21.2, 2.882, 23.75, 160
21.4, 2.882, 16.25, 160
21.6, 2.882, 15.625, 160
21.8, 2.882, 13.125, 160
22.0, 2.882, 10.625, 160
22.2, 2.882, 6.25, 160
22.4, 2.882, 2.5, 160
15.2, 3.406, 1.875, 160
15.4, 3.406, 2.5, 160
15.6, 3.406, 0.625, 160
15.8, 3.406, 1.875, 160
16.0, 3.406, 1.875, 160
16.2, 3.406, 1.875, 160
16.4, 3.406, 0.625, 160
16.6, 3.406, 2.5, 160
16.8, 3.406, 1.25, 160
17.0, 3.406, 1.25, 160
17.2, 3.406, 6.875, 160
17.4, 3.406, 8.125, 160
17.6, 3.406, 17.5, 160
17.8, 3.406, 30.0, 160
18.0, 3.406, 40.0, 160
18.2, 3.406, 39.375, 160
18.4, 3.406, 46.875, 160
18.6, 3.406, 48.75, 160
18.8, 3.406, 53.125, 160
19.0, 3.406, 56.25, 160
19.2, 3.406, 55.625, 160
19.4, 3.406, 53.75, 160
19.6, 3.406, 57.5, 160
19.8, 3.406, 59.375, 160
20.0, 3.406, 55.625, 160
20.2, 3.406, 57.5, 160
20.4, 3.406, 56.25, 160
20.6, 3.406, 51.25, 160
20.8, 3.406, 42.5, 160
21.0, 3.406, 41.25, 160
21.2, 3.406, 33.75, 160
21.4, 3.406, 33.75, 160
21.6, 3.406, 22.5, 160
21.8, 3.406, 13.125, 160
22.0, 3.406, 9.375, 160
22.2, 3.406, 8.75, 160
22.4, 3.406, 3.75, 160
15.2, 3.668, 0.625, 160
15.4, 3.668, 0.625, 160
15.6, 3.668, 1.25, 160
15.8, 3.668, 0.625, 160
16.0, 3.668, 2.5, 160
16.2, 3.668, 1.875, 160
16.4, 3.668, 1.25, 160
16.6, 3.668, 2.5, 160
16.8, 3.668, 0.625, 160
17.0, 3.668, 4.375, 160
17.2, 3.668, 11.25, 160
17.4, 3.668, 18.125, 160
17.6, 3.668, 36.25, 160
17.8, 3.668, 43.125, 160
18.0, 3.668, 48.75, 160
18.2, 3.668, 61.875, 160
18.4, 3.668, 55.625, 160
18.6, 3.668, 61.25, 160
18.8, 3.668, 52.5, 160
19.0, 3.668, 58.125, 160
19.2, 3.668, 60.625, 160
19.4, 3.668, 60.0, 160
19.6, 3.668, 60.625, 160
19.8, 3.668, 53.75, 160
20.0, 3.668, 61.875, 160
20.2, 3.668, 56.875, 160
20.4, 3.668, 51.875, 160
20.6, 3.668, 58.125, 160
20.8, 3.668, 47.5, 160
21.0, 3.668, 46.875, 160
21.2, 3.668, 43.125, 160
21.4, 3.668, 39.375, 160
21.6, 3.668, 26.875, 160
21.8, 3.668, 20.625, 160
22.0, 3.668, 10.0, 160
22.2, 3.668, 9.375, 160
22.4, 3.668, 4.375, 160
15.2, 4.192, 1.875, 160
15.4, 4.192, 0.625, 160
15.6, 4.192, 0.0, 160
15.8, 4.192, 1.25, 160
16.0, 4.192, 1.875, 160
16.2, 4.192, 1.875, 160
16.4, 4.192, 3.125, 160
16.6, 4.192, 5.625, 160
16.8, 4.192, 9.375, 160
17.0, 4.192, 23.75, 160
17.2, 4.192, 36.25, 160
17.4, 4.192, 43.75, 160
17.6, 4.192, 53.75, 160
17.8, 4.192, 56.875, 160
18.0, 4.192, 67.5, 160
18.2, 4.192, 66.875, 160
18.4, 4.192, 66.25, 160
18.6, 4.192, 67.5, 160
18.8, 4.192, 64.375, 160
19.0, 4.192, 62.5, 160
19.2, 4.192, 65.0, 160
19.4, 4.192, 70.0, 160
19.6, 4.192, 69.375, 160
19.8, 4.192, 63.125, 160
20.0, 4.192, 70.625, 160
20.2, 4.192, 60.0, 160
20.4, 4.192, 63.75, 160
20.6, 4.192, 63.75, 160
20.8, 4.192, 56.875, 160
21.0, 4.192, 52.5, 160
21.2, 4.192, 48.125, 160
21.4, 4.192, 36.875, 160
21.6, 4.192, 30.625, 160
21.8, 4.192, 13.125, 160
22.0, 4.192, 10.625, 160
22.2, 4.192, 10.625, 160
22.4, 4.192, 5.0, 160
15.2, 4.716, 1.25, 160
15.4, 4.716, 0.625, 160
15.6, 4.716, 0.625, 160
15.8, 4.716, 0.625, 160
16.0, 4.716, 2.5, 160
16.2, 4.716, 3.125, 160
16.4, 4.716, 7.5, 160
16.6, 4.716, 21.875, 160
16.8, 4.716, 39.375, 160
17.0, 4.716, 45.0, 160
17.2, 4.716, 54.375, 160
17.4, 4.716, 65.625, 160
17.6, 4.716, 66.25, 160
17.8, 4.716, 67.5, 160
18.0, 4.716, 66.875, 160
18.2, 4.716, 73.75, 160
18.4, 4.716, 70.625, 160
18.6, 4.716, 70.625, 160
18.8, 4.716, 70.0, 160
19.0, 4.716, 70.625, 160
19.2, 4.716, 71.25, 160
19.4, 4.716, 68.125, 160
19.6, 4.716, 71.875, 160
19.8, 4.716, 72.5, 160
20.0, 4.716, 69.375, 160
20.2, 4.716, 66.25, 160
20.4, 4.716, 68.125, 160
20.6, 4.716, 66.25, 160
20.8, 4.716, 65.625, 160
21.0, 4.716, 60.625, 160
21.2, 4.716, 55.625, 160
21.4, 4.716, 41.875, 160
21.6, 4.716, 29.375, 160
21.8, 4.716, 16.875, 160
22.0, 4.716, 11.25, 160
22.2, 4.716, 6.875, 160
22.4, 4.716, 3.125, 160
15.2, 5.24, 0.625, 160
15.4, 5.24, 0.0, 160
15.6, 5.24, 1.25, 160
15.8, 5.24, 1.875, 160
16.0, 5.24, 5.625, 160
16.2, 5.24, 14.375, 160
16.4, 5.24, 28.125, 160
16.6, 5.24, 49.375, 160
16.8, 5.24, 60.0, 160
17.0, 5.24, 69.375, 160
17.2, 5.24, 72.5, 160
17.4, 5.24, 72.5, 160
17.6, 5.24, 66.25, 160
17.8, 5.24, 71.875, 160
18.0, 5.24, 70.625, 160
18.2, 5.24, 73.125, 160
18.4, 5.24, 71.875, 160
18.6, 5.24, 72.5, 160
18.8, 5.24, 70.625, 160
19.0, 5.24, 75.0, 160
19.2, 5.24, 72.5, 160
19.4, 5.24, 73.125, 160
19.6, 5.24, 69.375, 160
19.8, 5.24, 76.875, 160
