mag,rho,eff_rd
16.8,3.162,2.5
17.0,3.162,3.75
17.2,3.162,1.25
17.4,3.162,1.25
17.6,3.162,2.5
17.8,3.162,3.75
18.0,3.162,7.5
18.2,3.162,12.5
18.4,3.162,28.75
18.6,3.162,16.25
18.8,3.162,30.0
19.0,3.162,26.25
19.2,3.162,36.25
19.4,3.162,38.75
19.6,3.162,31.25
19.8,3.162,26.25
20.0,3.162,37.5
20.2,3.162,30.0
20.4,3.162,37.5
20.6,3.162,27.5
20.8,3.162,21.25
21.0,3.162,17.5
21.2,3.162,21.25
21.4,3.162,10.0
21.6,3.162,10.0
21.8,3.162,8.75
22.0,3.162,7.5
22.2,3.162,2.5
22.4,3.162,5.0
16.8,3.548,0.0
17.0,3.548,0.0
17.2,3.548,3.75
17.4,3.548,3.75
17.6,3.548,6.25
17.8,3.548,8.75
18.0,3.548,16.25
18.2,3.548,28.75
18.4,3.548,32.5
18.6,3.548,31.25
18.8,3.548,38.75
19.0,3.548,53.75
19.2,3.548,45.0
19.4,3.548,46.25
19.6,3.548,42.5
19.8,3.548,47.5
20.0,3.548,53.75
20.2,3.548,47.5
20.4,3.548,40.0
20.6,3.548,32.5
20.8,3.548,38.75
21.0,3.548,36.25
21.2,3.548,18.75
21.4,3.548,23.75
21.6,3.548,16.25
21.8,3.548,11.25
22.0,3.548,7.5
22.2,3.548,3.75
22.4,3.548,5.0
16.8,4.467,0.0
17.0,4.467,5.0
17.2,4.467,6.25
17.4,4.467,15.0
17.6,4.467,30.0
17.8,4.467,41.25
18.0,4.467,46.25
18.2,4.467,48.75
18.4,4.467,57.5
18.6,4.467,67.5
18.8,4.467,53.75
19.0,4.467,62.5
19.2,4.467,57.5
19.4,4.467,63.75
19.6,4.467,58.75
19.8,4.467,63.75
20.0,4.467,52.5
20.2,4.467,62.5
20.4,4.467,61.25
20.6,4.467,50.0
20.8,4.467,65.0
21.0,4.467,53.75
21.2,4.467,43.75
21.4,4.467,36.25
21.6,4.467,21.25
21.8,4.467,10.0
22.0,4.467,7.5
22.2,4.467,7.5
22.4,4.467,1.25
16.8,5.012,2.5
17.0,5.012,11.25
17.2,5.012,17.5
17.4,5.012,37.5
17.6,5.012,46.25
17.8,5.012,50.0
18.0,5.012,62.5
18.2,5.012,73.75
18.4,5.012,70.0
18.6,5.012,65.0
18.8,5.012,76.25
19.0,5.012,71.25
19.2,5.012,80.0
19.4,5.012,75.0
19.6,5.012,72.5
19.8,5.012,70.0
20.0,5.012,72.5
20.2,5.012,56.25
20.4,5.012,67.5
20.6,5.012,52.5
20.8,5.012,52.5
