mag,rho,eff_rd
16.2,3.162,0.0
16.4,3.162,2.5
16.6,3.162,2.5
16.8,3.162,1.66667
17.0,3.162,0.0
17.2,3.162,2.5
17.4,3.162,6.66667
17.6,3.162,8.33333
17.8,3.162,16.66667
18.0,3.162,30.83333
18.2,3.162,37.5
18.4,3.162,44.16667
18.6,3.162,43.33333
18.8,3.162,55.0
19.0,3.162,59.16667
19.2,3.162,50.0
19.4,3.162,67.5
19.6,3.162,52.5
19.8,3.162,55.0
20.0,3.162,54.16667
20.2,3.162,50.0
20.4,3.162,50.83333
20.6,3.162,38.33333
20.8,3.162,45.0
21.0,3.162,38.33333
21.2,3.162,32.5
21.4,3.162,24.16667
21.6,3.162,18.33333
21.8,3.162,19.16667
22.0,3.162,14.16667
22.2,3.162,10.0
22.4,3.162,5.83333
16.2,3.548,0.83333
16.4,3.548,1.66667
16.6,3.548,5.0
16.8,3.548,3.33333
17.0,3.548,4.16667
17.2,3.548,8.33333
17.4,3.548,12.5
17.6,3.548,26.66667
17.8,3.548,40.83333
18.0,3.548,50.83333
18.2,3.548,55.0
18.4,3.548,67.5
18.6,3.548,57.5
18.8,3.548,65.0
19.0,3.548,71.66667
19.2,3.548,70.83333
19.4,3.548,68.33333
19.6,3.548,66.66667
19.8,3.548,60.83333
20.0,3.548,66.66667
20.2,3.548,61.66667
20.4,3.548,55.83333
20.6,3.548,56.66667
20.8,3.548,45.83333
21.0,3.548,36.66667
21.2,3.548,35.83333
21.4,3.548,30.83333
21.6,3.548,20.0
21.8,3.548,17.5
22.0,3.548,8.33333
22.2,3.548,5.83333
22.4,3.548,4.16667
16.2,4.467,2.5
16.4,4.467,0.83333
16.6,4.467,5.83333
16.8,4.467,10.83333
17.0,4.467,28.33333
17.2,4.467,35.83333
17.4,4.467,56.66667
17.6,4.467,61.66667
17.8,4.467,62.5
18.0,4.467,71.66667
18.2,4.467,80.83333
18.4,4.467,75.83333
18.6,4.467,77.5
18.8,4.467,80.83333
19.0,4.467,77.5
19.2,4.467,85.83333
19.4,4.467,74.16667
19.6,4.467,79.16667
19.8,4.467,75.83333
20.0,4.467,76.66667
20.2,4.467,72.5
20.4,4.467,67.5
20.6,4.467,65.0
20.8,4.467,69.16667
21.0,4.467,64.16667
21.2,4.467,45.83333
21.4,4.467,30.83333
21.6,4.467,23.33333
21.8,4.467,8.33333
22.0,4.467,9.16667
22.2,4.467,2.5
22.4,4.467,6.66667
16.2,5.012,2.5
16.4,5.012,4.16667
16.6,5.012,13.33333
16.8,5.012,29.16667
17.0,5.012,47.5
17.2,5.012,60.83333
17.4,5.012,70.83333
17.6,5.012,64.16667
17.8,5.012,79.16667
18.0,5.012,82.5
18.2,5.012,83.33333
18.4,5.012,85.83333
18.6,5.012,88.33333
18.8,5.012,78.33333
19.0,5.012,82.5
19.2,5.012,85.83333
19.4,5.012,83.33333
19.6,5.012,85.0
19.8,5.012,80.83333
20.0,5.012,85.0
20.2,5.012,71.66667
20.4,5.012,75.83333
20.6,5.012,69.16667
20.8,5.012,63.33333
21.0,5.012,64.16667
21.2,5.012,47.5
21.4,5.012,36.66667
21.6,5.012,23.33333
21.8,5.012,15.83333
22.0,5.012,12.5
22.2,5.012,5.83333
22.4,5.012,1.66667
16.2,6.31,17.5
16.4,6.31,33.33333
16.6,6.31,45.0
16.8,6.31,64.16667
17.0,6.31,76.66667
17.2,6.31,81.66667
17.4,6.31,82.5
17.6,6.31,83.33333
17.8,6.31,87.5
18.0,6.31,87.5
18.2,6.31,89.16667
18.4,6.31,84.16667
18.6,6.31,89.16667
18.8,6.31,85.83333
19.0,6.31,88.33333
19.2,6.31,83.33333
19.4,6.31,90.83333
19.6,6.31,84.16667
19.8,6.31,92.5
20.0,6.31,82.5
20.2,6.31,84.16667
20.4,6.31,83.33333
20.6,6.31,76.66667
20.8,6.31,75.0
21.0,6.31,60.0
21.2,6.31,57.5
21.4,6.31,36.66667
21.6,6.31,21.66667
21.8,6.31,15.83333
22.0,6.31,7.5
22.2,6.31,8.33333
22.4,6.31,4.16667
16.2,7.943,40.83333
16.4,7.943,67.5
16.6,7.943,80.83333
16.8,7.943,86.66667
17.0,7.943,90.83333
17.2,7.943,85.83333
17.4,7.943,89.16667
17.6,7.943,90.0
17.8,7.943,92.5
18.0,7.943,93.33333
18.2,7.943,93.33333
18.4,7.943,89.16667
18.6,7.943,89.16667
18.8,7.943,93.33333
19.0,7.943,86.66667
19.2,7.943,86.66667
19.4,7.943,87.5
19.6,7.943,87.5
19.8,7.943,91.66667
20.0,7.943,85.83333
20.2,7.943,90.0
20.4,7.943,83.33333
20.6,7.943,78.33333
20.8,7.943,72.5
21.0,7.943,61.66667
21.2,7.943,42.5
21.4,7.943,29.16667
21.6,7.943,20.0
21.8,7.943,19.16667
22.0,7.943,8.33333
22.2,7.943,5.83333
22.4,7.943,4.16667
16.2,10.0,81.66667
16.4,10.0,89.16667
16.6,10.0,92.5
16.8,10.0,93.33333
17.0,10.0,90.0
17.2,10.0,94.16667
17.4,10.0,93.33333
17.6,10.0,86.66667
17.8,10.0,94.16667
18.0,10.0,93.33333
18.2,10.0,91.66667
18.4,10.0,91.66667
18.6,10.0,91.66667
18.8,10.0,95.0
19.0,10.0,90.83333
19.2,10.0,87.5
19.4,10.0,89.16667
19.6,10.0,92.5
19.8,10.0,86.66667
20.0,10.0,86.66667
20.2,10.0,85.83333
20.4,10.0,85.83333
20.6,10.0,77.5
20.8,10.0,70.83333
21.0,10.0,60.0
21.2,10.0,47.5
21.4,10.0,30.0
21.6,10.0,20.0
21.8,10.0,17.5
22.0,10.0,10.83333
22.2,10.0,5.83333
22.4,10.0,3.33333
16.2,12.589,94.16667
16.4,12.589,96.66667
16.6,12.589,94.16667
16.8,12.589,91.66667
17.0,12.589,97.5
17.2,12.589,93.33333
17.4,12.589,93.33333
17.6,12.589,93.33333
17.8,12.589,97.5
18.0,12.589,95.83333
18.2,12.589,92.5
18.4,12.589,94.16667
18.6,12.589,90.83333
18.8,12.589,90.0
19.0,12.589,97.5
19.2,12.589,90.83333
19.4,12.589,94.16667
19.6,12.589,88.33333
19.8,12.589,93.33333
20.0,12.589,89.16667
20.2,12.589,87.5
20.4,12.589,85.0
20.6,12.589,74.16667
20.8,12.589,71.66667
21.0,12.589,67.5
21.2,12.589,39.16667
21.4,12.589,30.83333
21.6,12.589,21.66667
21.8,12.589,15.0
22.0,12.589,14.16667
22.2,12.589,5.83333
22.4,12.589,5.0
16.2,17.783,90.83333
16.4,17.783,95.83333
16.6,17.783,90.0
16.8,17.783,93.33333
17.0,17.783,93.33333
17.2,17.783,94.16667
17.4,17.783,90.83333
17.6,17.783,97.5
17.8,17.783,95.0
18.0,17.783,95.83333
18.2,17.783,93.33333
18.4,17.783,93.33333
