#Column 1: Magnitude of injected artificial galaxy 
#Column 2: Effective radius in arcsecsonds of the injected artificial galaxy 
#Column 3: The algroithm's percentage (0 to 100) of objects recovered 
#Column 4: The number of artificial galaxies injected 
mag,rho,eff_rd, n_inj 
15.6, 2.62, 2.5, 120
15.8, 2.62, 0.8333333333333334, 120
16.0, 2.62, 3.3333333333333335, 120
16.2, 2.62, 1.6666666666666667, 120
16.4, 2.62, 0.8333333333333334, 120
16.6, 2.62, 0.8333333333333334, 120
16.8, 2.62, 2.5, 120
17.0, 2.62, 1.6666666666666667, 120
17.2, 2.62, 1.6666666666666667, 120
17.4, 2.62, 6.666666666666667, 120
17.6, 2.62, 6.666666666666667, 120
17.8, 2.62, 13.333333333333332, 120
18.0, 2.62, 18.333333333333332, 120
18.2, 2.62, 32.5, 120
18.4, 2.62, 39.99999999999999, 120
18.6, 2.62, 50.833333333333336, 120
18.8, 2.62, 48.333333333333336, 120
19.0, 2.62, 47.5, 120
19.2, 2.62, 44.166666666666664, 120
19.4, 2.62, 53.333333333333336, 120
19.6, 2.62, 49.166666666666664, 120
19.8, 2.62, 45.83333333333333, 120
20.0, 2.62, 45.0, 120
20.2, 2.62, 40.83333333333333, 120
20.4, 2.62, 40.83333333333333, 120
20.6, 2.62, 30.833333333333336, 120
20.8, 2.62, 35.0, 120
21.0, 2.62, 11.666666666666666, 120
21.2, 2.62, 15.0, 120
21.4, 2.62, 11.666666666666668, 120
21.6, 2.62, 17.5, 120
21.8, 2.62, 14.166666666666668, 120
22.0, 2.62, 7.5, 120
22.2, 2.62, 9.166666666666668, 120
22.4, 2.62, 2.5, 120
15.6, 2.882, 1.6666666666666667, 120
15.8, 2.882, 0.8333333333333334, 120
16.0, 2.882, 1.6666666666666667, 120
16.2, 2.882, 2.5, 120
16.4, 2.882, 1.6666666666666667, 120
16.6, 2.882, 2.5, 120
16.8, 2.882, 5.0, 120
17.0, 2.882, 5.0, 120
17.2, 2.882, 8.333333333333334, 120
17.4, 2.882, 20.833333333333332, 120
17.6, 2.882, 19.166666666666664, 120
17.8, 2.882, 29.166666666666668, 120
18.0, 2.882, 39.16666666666667, 120
18.2, 2.882, 50.833333333333336, 120
18.4, 2.882, 44.99999999999999, 120
18.6, 2.882, 53.333333333333336, 120
18.8, 2.882, 43.33333333333333, 120
19.0, 2.882, 47.5, 120
19.2, 2.882, 66.66666666666666, 120
19.4, 2.882, 63.33333333333333, 120
19.6, 2.882, 44.166666666666664, 120
19.8, 2.882, 52.49999999999999, 120
20.0, 2.882, 48.333333333333336, 120
20.2, 2.882, 48.33333333333333, 120
20.4, 2.882, 50.83333333333333, 120
20.6, 2.882, 39.166666666666664, 120
20.8, 2.882, 31.666666666666664, 120
21.0, 2.882, 22.499999999999996, 120
21.2, 2.882, 28.333333333333332, 120
21.4, 2.882, 17.5, 120
21.6, 2.882, 18.333333333333332, 120
21.8, 2.882, 9.999999999999998, 120
22.0, 2.882, 5.833333333333334, 120
22.2, 2.882, 5.833333333333333, 120
22.4, 2.882, 9.166666666666666, 120
15.6, 3.406, 2.5, 120
15.8, 3.406, 2.5, 120
16.0, 3.406, 0.8333333333333334, 120
16.2, 3.406, 0.8333333333333334, 120
16.4, 3.406, 2.5, 120
16.6, 3.406, 5.0, 120
16.8, 3.406, 14.166666666666668, 120
17.0, 3.406, 22.5, 120
17.2, 3.406, 39.16666666666666, 120
17.4, 3.406, 47.50000000000001, 120
17.6, 3.406, 54.99999999999999, 120
17.8, 3.406, 58.33333333333333, 120
18.0, 3.406, 63.33333333333334, 120
18.2, 3.406, 70.0, 120
18.4, 3.406, 70.0, 120
18.6, 3.406, 77.5, 120
18.8, 3.406, 73.33333333333333, 120
19.0, 3.406, 68.33333333333333, 120
19.2, 3.406, 72.5, 120
19.4, 3.406, 69.99999999999999, 120
19.6, 3.406, 67.5, 120
19.8, 3.406, 60.83333333333333, 120
20.0, 3.406, 64.16666666666666, 120
20.2, 3.406, 65.83333333333333, 120
20.4, 3.406, 60.0, 120
20.6, 3.406, 57.5, 120
20.8, 3.406, 44.166666666666664, 120
21.0, 3.406, 44.99999999999999, 120
21.2, 3.406, 35.0, 120
21.4, 3.406, 25.0, 120
21.6, 3.406, 15.833333333333332, 120
21.8, 3.406, 7.5, 120
22.0, 3.406, 4.166666666666667, 120
22.2, 3.406, 5.833333333333333, 120
22.4, 3.406, 5.0, 120
15.6, 3.668, 1.6666666666666667, 120
15.8, 3.668, 2.5, 120
16.0, 3.668, 4.166666666666667, 120
16.2, 3.668, 4.166666666666667, 120
16.4, 3.668, 6.666666666666667, 120
16.6, 3.668, 13.333333333333334, 120
16.8, 3.668, 20.0, 120
17.0, 3.668, 35.83333333333333, 120
17.2, 3.668, 44.16666666666666, 120
17.4, 3.668, 57.49999999999999, 120
17.6, 3.668, 66.66666666666666, 120
17.8, 3.668, 64.16666666666667, 120
18.0, 3.668, 69.16666666666667, 120
18.2, 3.668, 68.33333333333333, 120
18.4, 3.668, 77.5, 120
18.6, 3.668, 81.66666666666666, 120
18.8, 3.668, 80.83333333333334, 120
19.0, 3.668, 75.0, 120
19.2, 3.668, 80.0, 120
19.4, 3.668, 87.5, 120
19.6, 3.668, 69.16666666666667, 120
19.8, 3.668, 69.16666666666666, 120
20.0, 3.668, 75.0, 120
20.2, 3.668, 72.5, 120
20.4, 3.668, 65.0, 120
20.6, 3.668, 65.0, 120
20.8, 3.668, 61.666666666666664, 120
21.0, 3.668, 40.83333333333333, 120
21.2, 3.668, 38.33333333333333, 120
21.4, 3.668, 30.833333333333332, 120
21.6, 3.668, 15.0, 120
21.8, 3.668, 6.666666666666666, 120
22.0, 3.668, 5.833333333333334, 120
22.2, 3.668, 7.5, 120
22.4, 3.668, 3.3333333333333335, 120
15.6, 4.192, 3.3333333333333335, 120
15.8, 4.192, 4.166666666666667, 120
16.0, 4.192, 5.0, 120
16.2, 4.192, 10.0, 120
16.4, 4.192, 24.166666666666664, 120
16.6, 4.192, 30.833333333333336, 120
16.8, 4.192, 60.0, 120
17.0, 4.192, 68.33333333333333, 120
17.2, 4.192, 75.0, 120
17.4, 4.192, 82.5, 120
17.6, 4.192, 80.83333333333334, 120
17.8, 4.192, 80.83333333333333, 120
18.0, 4.192, 83.33333333333333, 120
18.2, 4.192, 86.66666666666669, 120
18.4, 4.192, 88.33333333333334, 120
18.6, 4.192, 84.16666666666667, 120
18.8, 4.192, 82.5, 120
19.0, 4.192, 84.16666666666667, 120
19.2, 4.192, 84.16666666666667, 120
19.4, 4.192, 85.83333333333334, 120
19.6, 4.192, 84.16666666666667, 120
19.8, 4.192, 76.66666666666666, 120
20.0, 4.192, 79.16666666666667, 120
20.2, 4.192, 74.16666666666667, 120
20.4, 4.192, 70.83333333333331, 120
20.6, 4.192, 70.0, 120
20.8, 4.192, 61.66666666666667, 120
21.0, 4.192, 55.0, 120
21.2, 4.192, 40.83333333333333, 120
21.4, 4.192, 31.666666666666664, 120
21.6, 4.192, 14.999999999999998, 120
21.8, 4.192, 14.166666666666666, 120
22.0, 4.192, 3.3333333333333335, 120
22.2, 4.192, 9.166666666666668, 120
22.4, 4.192, 6.666666666666667, 120
15.6, 4.716, 3.3333333333333335, 120
15.8, 4.716, 10.833333333333334, 120
16.0, 4.716, 21.666666666666668, 120
16.2, 4.716, 31.66666666666666, 120
16.4, 4.716, 49.99999999999999, 120
16.6, 4.716, 69.16666666666667, 120
16.8, 4.716, 75.0, 120
17.0, 4.716, 87.50000000000001, 120
17.2, 4.716, 89.16666666666667, 120
17.4, 4.716, 90.83333333333334, 120
17.6, 4.716, 88.33333333333333, 120
17.8, 4.716, 86.66666666666667, 120
18.0, 4.716, 90.0, 120
18.2, 4.716, 89.16666666666667, 120
18.4, 4.716, 89.16666666666666, 120
18.6, 4.716, 89.16666666666667, 120
18.8, 4.716, 89.16666666666669, 120
19.0, 4.716, 88.33333333333334, 120
19.2, 4.716, 87.5, 120
19.4, 4.716, 84.16666666666667, 120
19.6, 4.716, 89.16666666666667, 120
19.8, 4.716, 85.0, 120
20.0, 4.716, 75.0, 120
20.2, 4.716, 77.50000000000001, 120
20.4, 4.716, 70.0, 120
20.6, 4.716, 74.16666666666666, 120
20.8, 4.716, 59.166666666666664, 120
21.0, 4.716, 52.5, 120
21.2, 4.716, 28.333333333333332, 120
21.4, 4.716, 19.166666666666668, 120
21.6, 4.716, 12.5, 120
21.8, 4.716, 12.500000000000002, 120
22.0, 4.716, 8.333333333333334, 120
22.2, 4.716, 6.666666666666667, 120
22.4, 4.716, 6.666666666666667, 120
15.6, 5.24, 10.0, 120
15.8, 5.24, 25.833333333333332, 120
16.0, 5.24, 49.166666666666664, 120
16.2, 5.24, 60.83333333333333, 120
16.4, 5.24, 80.83333333333334, 120
16.6, 5.24, 83.33333333333334, 120
16.8, 5.24, 87.49999999999999, 120
17.0, 5.24, 90.0, 120
17.2, 5.24, 94.16666666666667, 120
17.4, 5.24, 94.16666666666667, 120
17.6, 5.24, 94.16666666666667, 120
17.8, 5.24, 95.83333333333333, 120
18.0, 5.24, 93.33333333333334, 120
18.2, 5.24, 95.83333333333333, 120
18.4, 5.24, 92.5, 120
18.6, 5.24, 94.16666666666667, 120
18.8, 5.24, 85.83333333333334, 120
19.0, 5.24, 89.16666666666667, 120
19.2, 5.24, 93.33333333333333, 120
19.4, 5.24, 85.83333333333334, 120
19.6, 5.24, 90.0, 120
19.8, 5.24, 88.33333333333333, 120
20.0, 5.24, 81.66666666666667, 120
20.2, 5.24, 84.16666666666667, 120
20.4, 5.24, 79.16666666666666, 120
20.6, 5.24, 73.33333333333333, 120
20.8, 5.24, 69.99999999999999, 120
21.0, 5.24, 51.666666666666664, 120
21.2, 5.24, 34.16666666666666, 120
21.4, 5.24, 21.666666666666664, 120
21.6, 5.24, 13.333333333333334, 120
21.8, 5.24, 10.833333333333334, 120
22.0, 5.24, 6.666666666666667, 120
22.2, 5.24, 4.999999999999999, 120
22.4, 5.24, 5.0, 120
15.6, 5.764, 36.666666666666664, 120
15.8, 5.764, 47.49999999999999, 120
16.0, 5.764, 77.50000000000001, 120
16.2, 5.764, 82.5, 120
16.4, 5.764, 86.66666666666669, 120
16.6, 5.764, 90.83333333333334, 120
16.8, 5.764, 91.66666666666667, 120
17.0, 5.764, 94.16666666666667, 120
17.2, 5.764, 90.0, 120
17.4, 5.764, 88.33333333333333, 120
17.6, 5.764, 92.50000000000001, 120
17.8, 5.764, 90.83333333333334, 120
18.0, 5.764, 95.83333333333333, 120
18.2, 5.764, 94.16666666666666, 120
18.4, 5.764, 90.83333333333334, 120
18.6, 5.764, 95.0, 120
18.8, 5.764, 88.33333333333334, 120
19.0, 5.764, 89.16666666666667, 120
19.2, 5.764, 88.33333333333334, 120
19.4, 5.764, 96.66666666666667, 120
19.6, 5.764, 90.0, 120
19.8, 5.764, 88.33333333333333, 120
20.0, 5.764, 90.00000000000001, 120
20.2, 5.764, 83.33333333333334, 120
20.4, 5.764, 77.5, 120
20.6, 5.764, 67.49999999999999, 120
20.8, 5.764, 61.66666666666667, 120
21.0, 5.764, 49.166666666666664, 120
21.2, 5.764, 32.5, 120
21.4, 5.764, 30.0, 120
21.6, 5.764, 12.5, 120
21.8, 5.764, 10.833333333333332, 120
22.0, 5.764, 10.0, 120
22.2, 5.764, 6.666666666666667, 120
22.4, 5.764, 1.6666666666666667, 120
15.6, 6.55, 75.83333333333334, 120
15.8, 6.55, 87.5, 120
16.0, 6.55, 90.83333333333333, 120
16.2, 6.55, 90.0, 120
16.4, 6.55, 98.33333333333334, 120
16.6, 6.55, 91.66666666666666, 120
16.8, 6.55, 93.33333333333333, 120
17.0, 6.55, 96.66666666666667, 120
17.2, 6.55, 96.66666666666666, 120
17.4, 6.55, 94.16666666666667, 120
17.6, 6.55, 93.33333333333333, 120
17.8, 6.55, 95.83333333333333, 120
18.0, 6.55, 91.66666666666667, 120
18.2, 6.55, 92.5, 120
18.4, 6.55, 89.99999999999999, 120
18.6, 6.55, 87.5, 120
18.8, 6.55, 91.66666666666666, 120
19.0, 6.55, 91.66666666666666, 120
19.2, 6.55, 87.5, 120
19.4, 6.55, 87.5, 120
19.6, 6.55, 90.0, 120
19.8, 6.55, 90.0, 120
20.0, 6.55, 90.0, 120
20.2, 6.55, 87.5, 120
20.4, 6.55, 78.33333333333334, 120
20.6, 6.55, 69.16666666666667, 120
20.8, 6.55, 56.666666666666664, 120
21.0, 6.55, 40.0, 120
21.2, 6.55, 28.333333333333332, 120
21.4, 6.55, 20.0, 120
21.6, 6.55, 8.333333333333334, 120
21.8, 6.55, 15.0, 120
22.0, 6.55, 10.833333333333332, 120
22.2, 6.55, 7.5, 120
22.4, 6.55, 6.666666666666667, 120
15.6, 7.336, 93.33333333333333, 120
15.8, 7.336, 91.66666666666667, 120
16.0, 7.336, 95.00000000000001, 120
16.2, 7.336, 94.16666666666667, 120
16.4, 7.336, 94.16666666666667, 120
16.6, 7.336, 94.16666666666667, 120
16.8, 7.336, 96.66666666666667, 120
17.0, 7.336, 95.0, 120
17.2, 7.336, 95.0, 120
17.4, 7.336, 91.66666666666667, 120
17.6, 7.336, 95.0, 120
17.8, 7.336, 94.16666666666667, 120
18.0, 7.336, 94.16666666666667, 120
18.2, 7.336, 92.5, 120
18.4, 7.336, 95.00000000000001, 120
18.6, 7.336, 94.16666666666666, 120
18.8, 7.336, 94.16666666666666, 120
19.0, 7.336, 95.0, 120
19.2, 7.336, 93.33333333333334, 120
19.4, 7.336, 90.83333333333334, 120
19.6, 7.336, 88.33333333333333, 120
19.8, 7.336, 88.33333333333333, 120
20.0, 7.336, 83.33333333333334, 120
20.2, 7.336, 89.16666666666667, 120
20.4, 7.336, 75.83333333333333, 120
20.6, 7.336, 70.83333333333333, 120
20.8, 7.336, 55.83333333333333, 120
21.0, 7.336, 42.49999999999999, 120
21.2, 7.336, 27.5, 120
21.4, 7.336, 18.333333333333332, 120
21.6, 7.336, 18.333333333333332, 120
21.8, 7.336, 7.5, 120
22.0, 7.336, 4.166666666666667, 120
22.2, 7.336, 6.666666666666667, 120
22.4, 7.336, 5.0, 120
15.6, 8.384, 95.0, 120
15.8, 8.384, 95.83333333333334, 120
16.0, 8.384, 94.16666666666667, 120
16.2, 8.384, 95.83333333333333, 120
16.4, 8.384, 95.83333333333333, 120
16.6, 8.384, 93.33333333333333, 120
16.8, 8.384, 96.66666666666667, 120
17.0, 8.384, 92.5, 120
17.2, 8.384, 96.66666666666667, 120
17.4, 8.384, 96.66666666666667, 120
17.6, 8.384, 95.0, 120
17.8, 8.384, 95.00000000000001, 120
18.0, 8.384, 92.50000000000001, 120
18.2, 8.384, 94.16666666666667, 120
18.4, 8.384, 93.33333333333333, 120
18.6, 8.384, 92.5, 120
18.8, 8.384, 91.66666666666669, 120
19.0, 8.384, 90.83333333333333, 120
19.2, 8.384, 90.83333333333333, 120
19.4, 8.384, 92.5, 120
19.6, 8.384, 86.66666666666667, 120
19.8, 8.384, 82.5, 120
20.0, 8.384, 90.83333333333333, 120
20.2, 8.384, 84.16666666666667, 120
20.4, 8.384, 71.66666666666669, 120
20.6, 8.384, 62.5, 120
20.8, 8.384, 57.49999999999999, 120
21.0, 8.384, 31.666666666666664, 120
21.2, 8.384, 33.33333333333333, 120
21.4, 8.384, 14.166666666666668, 120
21.6, 8.384, 15.833333333333332, 120
21.8, 8.384, 8.333333333333332, 120
22.0, 8.384, 6.666666666666667, 120
22.2, 8.384, 6.666666666666666, 120
22.4, 8.384, 2.5, 120
15.6, 9.17, 95.83333333333334, 120
15.8, 9.17, 95.0, 120
16.0, 9.17, 94.16666666666667, 120
16.2, 9.17, 95.00000000000001, 120
16.4, 9.17, 93.33333333333333, 120
16.6, 9.17, 95.0, 120
16.8, 9.17, 98.33333333333334, 120
17.0, 9.17, 95.83333333333333, 120
17.2, 9.17, 95.83333333333334, 120
17.4, 9.17, 91.66666666666667, 120
17.6, 9.17, 97.5, 120
17.8, 9.17, 90.83333333333333, 120
18.0, 9.17, 95.83333333333333, 120
18.2, 9.17, 90.83333333333333, 120
18.4, 9.17, 95.83333333333333, 120
18.6, 9.17, 95.0, 120
18.8, 9.17, 94.16666666666667, 120
19.0, 9.17, 90.83333333333333, 120
19.2, 9.17, 89.16666666666667, 120
19.4, 9.17, 88.33333333333333, 120
19.6, 9.17, 89.16666666666667, 120
19.8, 9.17, 90.0, 120
20.0, 9.17, 85.83333333333334, 120
20.2, 9.17, 85.0, 120
20.4, 9.17, 77.5, 120
20.6, 9.17, 64.16666666666667, 120
20.8, 9.17, 54.16666666666666, 120
21.0, 9.17, 26.666666666666668, 120
21.2, 9.17, 24.999999999999996, 120
21.4, 9.17, 18.333333333333332, 120
21.6, 9.17, 8.333333333333334, 120
21.8, 9.17, 6.666666666666667, 120
22.0, 9.17, 5.0, 120
22.2, 9.17, 5.833333333333334, 120
22.4, 9.17, 7.5, 120
15.6, 10.48, 96.66666666666667, 120
15.8, 10.48, 93.33333333333334, 120
16.0, 10.48, 92.5, 120
16.2, 10.48, 95.0, 120
16.4, 10.48, 94.16666666666667, 120
16.6, 10.48, 96.66666666666666, 120
16.8, 10.48, 95.83333333333334, 120
17.0, 10.48, 95.0, 120
17.2, 10.48, 94.16666666666667, 120
17.4, 10.48, 97.5, 120
17.6, 10.48, 93.33333333333333, 120
17.8, 10.48, 93.33333333333334, 120
18.0, 10.48, 90.0, 120
18.2, 10.48, 95.00000000000001, 120
18.4, 10.48, 92.5, 120
18.6, 10.48, 91.66666666666667, 120
18.8, 10.48, 95.83333333333333, 120
19.0, 10.48, 94.16666666666666, 120
19.2, 10.48, 93.33333333333333, 120
19.4, 10.48, 91.66666666666667, 120
19.6, 10.48, 89.16666666666669, 120
19.8, 10.48, 90.83333333333334, 120
20.0, 10.48, 88.33333333333334, 120
20.2, 10.48, 76.66666666666667, 120
20.4, 10.48, 75.0, 120
20.6, 10.48, 52.5, 120
20.8, 10.48, 38.333333333333336, 120
21.0, 10.48, 25.833333333333332, 120
21.2, 10.48, 20.0, 120
21.4, 10.48, 10.0, 120
21.6, 10.48, 11.666666666666666, 120
21.8, 10.48, 7.5, 120
22.0, 10.48, 9.166666666666668, 120
22.2, 10.48, 5.0, 120
22.4, 10.48, 2.5, 120
15.6, 11.79, 95.83333333333333, 120
15.8, 11.79, 97.5, 120
16.0, 11.79, 95.0, 120
16.2, 11.79, 95.0, 120
16.4, 11.79, 97.50000000000001, 120
16.6, 11.79, 93.33333333333334, 120
16.8, 11.79, 95.0, 120
17.0, 11.79, 96.66666666666667, 120
17.2, 11.79, 92.5, 120
17.4, 11.79, 95.83333333333333, 120
17.6, 11.79, 92.49999999999999, 120
17.8, 11.79, 94.16666666666666, 120
18.0, 11.79, 89.16666666666667, 120
18.2, 11.79, 95.83333333333334, 120
18.4, 11.79, 92.5, 120
18.6, 11.79, 93.33333333333333, 120
18.8, 11.79, 95.83333333333333, 120
19.0, 11.79, 90.0, 120
19.2, 11.79, 93.33333333333333, 120
19.4, 11.79, 88.33333333333334, 120
19.6, 11.79, 91.66666666666667, 120
19.8, 11.79, 86.66666666666667, 120
20.0, 11.79, 84.16666666666667, 120
20.2, 11.79, 74.16666666666667, 120
20.4, 11.79, 62.49999999999999, 120
20.6, 11.79, 48.33333333333333, 120
20.8, 11.79, 36.666666666666664, 120
21.0, 11.79, 23.333333333333332, 120
21.2, 11.79, 19.166666666666664, 120
21.4, 11.79, 13.333333333333332, 120
21.6, 11.79, 9.166666666666668, 120
21.8, 11.79, 8.333333333333334, 120
22.0, 11.79, 6.666666666666667, 120
22.2, 11.79, 5.833333333333334, 120
22.4, 11.79, 4.166666666666667, 120
15.6, 13.1, 96.66666666666667, 120
15.8, 13.1, 95.0, 120
16.0, 13.1, 95.0, 120
16.2, 13.1, 98.33333333333334, 120
16.4, 13.1, 96.66666666666667, 120
16.6, 13.1, 95.83333333333333, 120
16.8, 13.1, 91.66666666666667, 120
17.0, 13.1, 91.66666666666667, 120
17.2, 13.1, 92.5, 120
17.4, 13.1, 89.16666666666666, 120
17.6, 13.1, 92.5, 120
17.8, 13.1, 94.16666666666667, 120
18.0, 13.1, 95.83333333333333, 120
18.2, 13.1, 94.99999999999999, 120
18.4, 13.1, 96.66666666666667, 120
18.6, 13.1, 92.50000000000001, 120
18.8, 13.1, 95.83333333333334, 120
19.0, 13.1, 90.83333333333334, 120
19.2, 13.1, 94.16666666666667, 120
19.4, 13.1, 89.16666666666667, 120
19.6, 13.1, 93.33333333333333, 120
19.8, 13.1, 84.16666666666667, 120
20.0, 13.1, 79.16666666666667, 120
20.2, 13.1, 76.66666666666666, 120
20.4, 13.1, 66.66666666666666, 120
20.6, 13.1, 46.666666666666664, 120
20.8, 13.1, 32.5, 120
21.0, 13.1, 21.666666666666664, 120
21.2, 13.1, 13.333333333333332, 120
21.4, 13.1, 9.166666666666668, 120
21.6, 13.1, 9.166666666666666, 120
21.8, 13.1, 6.666666666666667, 120
22.0, 13.1, 4.166666666666667, 120
22.2, 13.1, 4.166666666666667, 120
22.4, 13.1, 5.0, 120
15.6, 14.672, 96.66666666666667, 120
15.8, 14.672, 94.99999999999999, 120
16.0, 14.672, 97.50000000000001, 120
16.2, 14.672, 92.5, 120
16.4, 14.672, 95.00000000000001, 120
16.6, 14.672, 97.5, 120
16.8, 14.672, 96.66666666666667, 120
17.0, 14.672, 97.50000000000001, 120
17.2, 14.672, 96.66666666666667, 120
17.4, 14.672, 93.33333333333333, 120
17.6, 14.672, 94.99999999999999, 120
17.8, 14.672, 95.83333333333333, 120
18.0, 14.672, 95.0, 120
18.2, 14.672, 96.66666666666667, 120
18.4, 14.672, 96.66666666666667, 120
18.6, 14.672, 93.33333333333334, 120
18.8, 14.672, 90.0, 120
19.0, 14.672, 94.16666666666667, 120
19.2, 14.672, 95.83333333333333, 120
19.4, 14.672, 89.16666666666666, 120
19.6, 14.672, 92.50000000000001, 120
19.8, 14.672, 76.66666666666666, 120
20.0, 14.672, 79.16666666666667, 120
20.2, 14.672, 68.33333333333333, 120
20.4, 14.672, 50.0, 120
20.6, 14.672, 28.33333333333333, 120
20.8, 14.672, 26.666666666666664, 120
21.0, 14.672, 18.333333333333332, 120
21.2, 14.672, 11.666666666666666, 120
21.4, 14.672, 6.666666666666667, 120
21.6, 14.672, 4.166666666666667, 120
21.8, 14.672, 6.666666666666667, 120
22.0, 14.672, 3.3333333333333335, 120
22.2, 14.672, 4.166666666666667, 120
22.4, 14.672, 4.166666666666667, 120
15.6, 16.506, 95.0, 120
15.8, 16.506, 98.33333333333333, 120
16.0, 16.506, 96.66666666666667, 120
16.2, 16.506, 96.66666666666667, 120
16.4, 16.506, 93.33333333333334, 120
16.6, 16.506, 95.83333333333334, 120
16.8, 16.506, 99.16666666666667, 120
17.0, 16.506, 95.00000000000001, 120
17.2, 16.506, 95.83333333333333, 120
17.4, 16.506, 94.16666666666667, 120
17.6, 16.506, 94.16666666666667, 120
17.8, 16.506, 97.50000000000001, 120
18.0, 16.506, 95.83333333333333, 120
18.2, 16.506, 94.16666666666667, 120
18.4, 16.506, 95.0, 120
18.6, 16.506, 96.66666666666667, 120
18.8, 16.506, 94.16666666666667, 120
19.0, 16.506, 95.00000000000001, 120
19.2, 16.506, 90.83333333333334, 120
19.4, 16.506, 92.5, 120
19.6, 16.506, 90.00000000000001, 120
19.8, 16.506, 82.5, 120
20.0, 16.506, 83.33333333333334, 120
20.2, 16.506, 67.5, 120
20.4, 16.506, 40.0, 120
20.6, 16.506, 32.5, 120
20.8, 16.506, 20.0, 120
21.0, 16.506, 15.0, 120
21.2, 16.506, 10.833333333333332, 120
21.4, 16.506, 7.5, 120
21.6, 16.506, 5.833333333333334, 120
21.8, 16.506, 6.666666666666667, 120
22.0, 16.506, 4.166666666666667, 120
22.2, 16.506, 3.3333333333333335, 120
22.4, 16.506, 2.5, 120
15.6, 18.602, 95.83333333333333, 120
15.8, 18.602, 95.83333333333334, 120
16.0, 18.602, 97.50000000000001, 120
16.2, 18.602, 97.5, 120
16.4, 18.602, 95.00000000000001, 120
16.6, 18.602, 95.83333333333334, 120
16.8, 18.602, 95.83333333333333, 120
17.0, 18.602, 94.16666666666667, 120
17.2, 18.602, 97.5, 120
17.4, 18.602, 95.83333333333333, 120
17.6, 18.602, 97.5, 120
17.8, 18.602, 95.83333333333333, 120
18.0, 18.602, 96.66666666666667, 120
18.2, 18.602, 94.99999999999999, 120
18.4, 18.602, 95.0, 120
18.6, 18.602, 95.83333333333334, 120
18.8, 18.602, 91.66666666666667, 120
19.0, 18.602, 94.16666666666666, 120
19.2, 18.602, 94.16666666666667, 120
19.4, 18.602, 91.66666666666667, 120
19.6, 18.602, 80.83333333333334, 120
19.8, 18.602, 75.83333333333334, 120
20.0, 18.602, 64.16666666666667, 120
20.2, 18.602, 51.666666666666664, 120
20.4, 18.602, 33.33333333333333, 120
20.6, 18.602, 30.0, 120
20.8, 18.602, 17.5, 120
21.0, 18.602, 14.166666666666668, 120
21.2, 18.602, 5.833333333333334, 120
21.4, 18.602, 7.5, 120
21.6, 18.602, 2.5, 120
21.8, 18.602, 5.833333333333334, 120
22.0, 18.602, 4.166666666666667, 120
22.2, 18.602, 5.833333333333333, 120
22.4, 18.602, 4.166666666666667, 120
15.6, 20.698, 98.33333333333333, 120
15.8, 20.698, 97.50000000000001, 120
16.0, 20.698, 99.16666666666667, 120
16.2, 20.698, 98.33333333333334, 120
16.4, 20.698, 97.5, 120
16.6, 20.698, 98.33333333333334, 120
16.8, 20.698, 99.16666666666667, 120
17.0, 20.698, 97.5, 120
17.2, 20.698, 94.16666666666667, 120
17.4, 20.698, 96.66666666666667, 120
17.6, 20.698, 95.83333333333333, 120
17.8, 20.698, 93.33333333333334, 120
18.0, 20.698, 95.83333333333333, 120
18.2, 20.698, 98.33333333333333, 120
18.4, 20.698, 92.50000000000001, 120
18.6, 20.698, 89.16666666666666, 120
18.8, 20.698, 88.33333333333334, 120
19.0, 20.698, 94.16666666666667, 120
19.2, 20.698, 93.33333333333333, 120
19.4, 20.698, 89.16666666666667, 120
19.6, 20.698, 81.66666666666667, 120
19.8, 20.698, 72.5, 120
20.0, 20.698, 56.666666666666664, 120
20.2, 20.698, 37.5, 120
20.4, 20.698, 24.166666666666664, 120
20.6, 20.698, 24.166666666666664, 120
20.8, 20.698, 12.5, 120
21.0, 20.698, 9.166666666666668, 120
21.2, 20.698, 9.166666666666666, 120
21.4, 20.698, 5.0, 120
21.6, 20.698, 4.166666666666667, 120
21.8, 20.698, 2.5, 120
22.0, 20.698, 3.3333333333333335, 120
22.2, 20.698, 5.833333333333334, 120
22.4, 20.698, 5.833333333333334, 120
15.6, 23.318, 98.33333333333334, 120
15.8, 23.318, 93.33333333333333, 120
16.0, 23.318, 95.83333333333333, 120
16.2, 23.318, 96.66666666666666, 120
16.4, 23.318, 93.33333333333334, 120
16.6, 23.318, 94.16666666666667, 120
16.8, 23.318, 95.00000000000001, 120
17.0, 23.318, 96.66666666666666, 120
17.2, 23.318, 93.33333333333333, 120
