#Column 1: Magnitude of injected artificial galaxy 
#Column 2: Effective radius in arcsecsonds of the injected artificial galaxy 
#Column 3: The algroithm's percentage (0 to 100) of objects recovered 
#Column 4: The number of artificial galaxies injected 
mag,rho,eff_rd, n_inj 
16.0, 2.62, 4.166666666666667, 120
16.2, 2.62, 3.3333333333333335, 120
16.4, 2.62, 4.166666666666667, 120
16.6, 2.62, 0.8333333333333334, 120
16.8, 2.62, 4.166666666666667, 120
17.0, 2.62, 5.833333333333333, 120
17.2, 2.62, 3.3333333333333335, 120
17.4, 2.62, 5.0, 120
17.6, 2.62, 10.0, 120
17.8, 2.62, 13.333333333333334, 120
18.0, 2.62, 20.0, 120
18.2, 2.62, 40.0, 120
18.4, 2.62, 38.333333333333336, 120
18.6, 2.62, 44.16666666666666, 120
18.8, 2.62, 49.166666666666664, 120
19.0, 2.62, 38.33333333333333, 120
19.2, 2.62, 54.166666666666664, 120
19.4, 2.62, 46.666666666666664, 120
19.6, 2.62, 45.833333333333336, 120
19.8, 2.62, 50.83333333333333, 120
20.0, 2.62, 46.666666666666664, 120
20.2, 2.62, 52.5, 120
20.4, 2.62, 36.666666666666664, 120
20.6, 2.62, 39.166666666666664, 120
20.8, 2.62, 35.833333333333336, 120
21.0, 2.62, 21.666666666666668, 120
21.2, 2.62, 19.166666666666664, 120
21.4, 2.62, 18.333333333333332, 120
21.6, 2.62, 11.666666666666666, 120
21.8, 2.62, 11.666666666666666, 120
22.0, 2.62, 9.166666666666666, 120
22.2, 2.62, 5.0, 120
22.4, 2.62, 5.833333333333333, 120
16.0, 2.882, 1.6666666666666667, 120
16.2, 2.882, 0.8333333333333334, 120
16.4, 2.882, 3.3333333333333335, 120
16.6, 2.882, 1.6666666666666667, 120
16.8, 2.882, 2.5, 120
17.0, 2.882, 2.5, 120
17.2, 2.882, 3.3333333333333335, 120
17.4, 2.882, 13.333333333333334, 120
17.6, 2.882, 27.499999999999996, 120
17.8, 2.882, 38.33333333333333, 120
18.0, 2.882, 45.0, 120
18.2, 2.882, 46.66666666666667, 120
18.4, 2.882, 55.0, 120
18.6, 2.882, 65.83333333333333, 120
18.8, 2.882, 64.16666666666667, 120
19.0, 2.882, 67.5, 120
19.2, 2.882, 69.16666666666667, 120
19.4, 2.882, 66.66666666666666, 120
19.6, 2.882, 60.83333333333333, 120
19.8, 2.882, 58.33333333333333, 120
20.0, 2.882, 65.83333333333334, 120
20.2, 2.882, 59.166666666666664, 120
20.4, 2.882, 55.0, 120
20.6, 2.882, 49.16666666666667, 120
20.8, 2.882, 39.166666666666664, 120
21.0, 2.882, 34.166666666666664, 120
21.2, 2.882, 25.0, 120
21.4, 2.882, 16.666666666666668, 120
21.6, 2.882, 17.5, 120
21.8, 2.882, 15.833333333333334, 120
22.0, 2.882, 6.666666666666666, 120
22.2, 2.882, 5.0, 120
22.4, 2.882, 4.166666666666667, 120
16.0, 3.406, 2.5, 120
16.2, 3.406, 0.0, 120
16.4, 3.406, 1.6666666666666667, 120
16.6, 3.406, 3.3333333333333335, 120
16.8, 3.406, 11.666666666666666, 120
17.0, 3.406, 33.33333333333333, 120
17.2, 3.406, 33.33333333333333, 120
17.4, 3.406, 58.33333333333333, 120
17.6, 3.406, 55.0, 120
17.8, 3.406, 65.0, 120
18.0, 3.406, 67.5, 120
18.2, 3.406, 79.16666666666667, 120
18.4, 3.406, 82.5, 120
18.6, 3.406, 71.66666666666667, 120
18.8, 3.406, 85.0, 120
19.0, 3.406, 79.16666666666666, 120
19.2, 3.406, 74.16666666666666, 120
19.4, 3.406, 78.33333333333334, 120
19.6, 3.406, 80.83333333333333, 120
19.8, 3.406, 78.33333333333333, 120
20.0, 3.406, 75.0, 120
20.2, 3.406, 70.0, 120
20.4, 3.406, 68.33333333333334, 120
20.6, 3.406, 65.0, 120
20.8, 3.406, 49.166666666666664, 120
21.0, 3.406, 53.333333333333336, 120
21.2, 3.406, 37.5, 120
21.4, 3.406, 25.0, 120
21.6, 3.406, 13.333333333333334, 120
21.8, 3.406, 8.333333333333332, 120
22.0, 3.406, 6.666666666666667, 120
22.2, 3.406, 5.833333333333334, 120
22.4, 3.406, 6.666666666666667, 120
16.0, 3.668, 0.0, 120
16.2, 3.668, 5.0, 120
16.4, 3.668, 5.0, 120
16.6, 3.668, 10.833333333333332, 120
16.8, 3.668, 26.666666666666664, 120
17.0, 3.668, 37.5, 120
17.2, 3.668, 63.33333333333333, 120
17.4, 3.668, 65.0, 120
17.6, 3.668, 72.49999999999999, 120
17.8, 3.668, 81.66666666666667, 120
18.0, 3.668, 82.5, 120
18.2, 3.668, 80.83333333333334, 120
18.4, 3.668, 85.83333333333334, 120
18.6, 3.668, 84.16666666666666, 120
18.8, 3.668, 89.16666666666667, 120
19.0, 3.668, 87.5, 120
19.2, 3.668, 85.0, 120
19.4, 3.668, 85.83333333333334, 120
19.6, 3.668, 82.5, 120
19.8, 3.668, 75.83333333333333, 120
20.0, 3.668, 81.66666666666666, 120
20.2, 3.668, 78.33333333333334, 120
20.4, 3.668, 70.83333333333333, 120
20.6, 3.668, 72.5, 120
20.8, 3.668, 62.5, 120
21.0, 3.668, 56.666666666666664, 120
21.2, 3.668, 45.833333333333336, 120
21.4, 3.668, 22.5, 120
21.6, 3.668, 20.0, 120
21.8, 3.668, 9.166666666666666, 120
22.0, 3.668, 7.500000000000001, 120
22.2, 3.668, 4.166666666666667, 120
22.4, 3.668, 0.8333333333333334, 120
16.0, 4.192, 6.666666666666667, 120
16.2, 4.192, 19.166666666666664, 120
16.4, 4.192, 21.666666666666664, 120
16.6, 4.192, 45.83333333333333, 120
16.8, 4.192, 62.5, 120
17.0, 4.192, 70.0, 120
17.2, 4.192, 88.33333333333334, 120
17.4, 4.192, 86.66666666666667, 120
17.6, 4.192, 95.0, 120
17.8, 4.192, 89.16666666666667, 120
18.0, 4.192, 94.16666666666667, 120
18.2, 4.192, 89.16666666666666, 120
18.4, 4.192, 92.49999999999999, 120
18.6, 4.192, 92.5, 120
18.8, 4.192, 90.0, 120
19.0, 4.192, 89.16666666666667, 120
19.2, 4.192, 92.5, 120
19.4, 4.192, 87.5, 120
19.6, 4.192, 93.33333333333334, 120
19.8, 4.192, 87.5, 120
20.0, 4.192, 85.0, 120
20.2, 4.192, 80.83333333333334, 120
20.4, 4.192, 85.0, 120
20.6, 4.192, 77.5, 120
20.8, 4.192, 70.0, 120
21.0, 4.192, 64.16666666666666, 120
21.2, 4.192, 36.666666666666664, 120
21.4, 4.192, 25.833333333333332, 120
21.6, 4.192, 17.5, 120
21.8, 4.192, 5.833333333333334, 120
22.0, 4.192, 5.833333333333334, 120
22.2, 4.192, 11.666666666666666, 120
22.4, 4.192, 4.166666666666667, 120
16.0, 4.716, 23.333333333333336, 120
16.2, 4.716, 45.833333333333336, 120
16.4, 4.716, 65.0, 120
16.6, 4.716, 82.5, 120
16.8, 4.716, 93.33333333333333, 120
17.0, 4.716, 89.16666666666666, 120
17.2, 4.716, 93.33333333333333, 120
17.4, 4.716, 96.66666666666666, 120
17.6, 4.716, 94.16666666666667, 120
17.8, 4.716, 95.0, 120
18.0, 4.716, 96.66666666666667, 120
18.2, 4.716, 93.33333333333333, 120
18.4, 4.716, 95.0, 120
18.6, 4.716, 94.16666666666666, 120
18.8, 4.716, 96.66666666666667, 120
19.0, 4.716, 94.16666666666667, 120
19.2, 4.716, 96.66666666666667, 120
19.4, 4.716, 93.33333333333333, 120
19.6, 4.716, 92.5, 120
19.8, 4.716, 90.83333333333333, 120
20.0, 4.716, 85.0, 120
20.2, 4.716, 85.83333333333333, 120
20.4, 4.716, 87.5, 120
20.6, 4.716, 76.66666666666667, 120
20.8, 4.716, 71.66666666666667, 120
21.0, 4.716, 45.0, 120
21.2, 4.716, 38.33333333333333, 120
21.4, 4.716, 23.333333333333336, 120
21.6, 4.716, 20.833333333333332, 120
21.8, 4.716, 9.166666666666664, 120
22.0, 4.716, 6.666666666666667, 120
22.2, 4.716, 5.0, 120
22.4, 4.716, 3.3333333333333335, 120
16.0, 5.24, 55.83333333333333, 120
16.2, 5.24, 82.5, 120
16.4, 5.24, 92.50000000000001, 120
16.6, 5.24, 94.16666666666667, 120
16.8, 5.24, 97.5, 120
17.0, 5.24, 96.66666666666667, 120
17.2, 5.24, 94.16666666666666, 120
17.4, 5.24, 93.33333333333334, 120
17.6, 5.24, 97.5, 120
17.8, 5.24, 93.33333333333333, 120
18.0, 5.24, 97.5, 120
18.2, 5.24, 99.16666666666667, 120
18.4, 5.24, 93.33333333333333, 120
18.6, 5.24, 99.16666666666667, 120
18.8, 5.24, 98.33333333333334, 120
19.0, 5.24, 98.33333333333334, 120
19.2, 5.24, 94.16666666666667, 120
19.4, 5.24, 90.83333333333333, 120
19.6, 5.24, 92.5, 120
19.8, 5.24, 95.00000000000001, 120
20.0, 5.24, 94.16666666666667, 120
20.2, 5.24, 95.0, 120
20.4, 5.24, 91.66666666666666, 120
20.6, 5.24, 75.83333333333334, 120
20.8, 5.24, 60.0, 120
21.0, 5.24, 53.33333333333333, 120
21.2, 5.24, 37.5, 120
21.4, 5.24, 27.499999999999996, 120
21.6, 5.24, 14.166666666666666, 120
21.8, 5.24, 7.500000000000001, 120
22.0, 5.24, 9.166666666666668, 120
22.2, 5.24, 5.0, 120
22.4, 5.24, 7.499999999999999, 120
16.0, 5.764, 90.83333333333333, 120
16.2, 5.764, 96.66666666666667, 120
16.4, 5.764, 97.50000000000001, 120
16.6, 5.764, 96.66666666666667, 120
16.8, 5.764, 97.5, 120
17.0, 5.764, 99.16666666666667, 120
17.2, 5.764, 97.5, 120
17.4, 5.764, 96.66666666666667, 120
17.6, 5.764, 95.0, 120
17.8, 5.764, 96.66666666666667, 120
18.0, 5.764, 96.66666666666667, 120
18.2, 5.764, 98.33333333333334, 120
18.4, 5.764, 96.66666666666667, 120
18.6, 5.764, 96.66666666666667, 120
18.8, 5.764, 99.16666666666667, 120
19.0, 5.764, 97.5, 120
19.2, 5.764, 95.83333333333333, 120
19.4, 5.764, 95.0, 120
19.6, 5.764, 94.16666666666667, 120
19.8, 5.764, 99.16666666666667, 120
20.0, 5.764, 94.16666666666667, 120
20.2, 5.764, 94.99999999999999, 120
20.4, 5.764, 87.5, 120
20.6, 5.764, 80.0, 120
20.8, 5.764, 75.0, 120
21.0, 5.764, 55.833333333333336, 120
21.2, 5.764, 34.166666666666664, 120
21.4, 5.764, 21.666666666666664, 120
21.6, 5.764, 21.666666666666664, 120
21.8, 5.764, 6.666666666666667, 120
22.0, 5.764, 6.666666666666667, 120
22.2, 5.764, 8.333333333333334, 120
22.4, 5.764, 3.3333333333333335, 120
16.0, 6.55, 98.33333333333334, 120
16.2, 6.55, 96.66666666666667, 120
16.4, 6.55, 100.0, 120
16.6, 6.55, 95.83333333333333, 120
16.8, 6.55, 98.33333333333334, 120
17.0, 6.55, 99.16666666666667, 120
17.2, 6.55, 98.33333333333334, 120
17.4, 6.55, 97.5, 120
17.6, 6.55, 99.16666666666667, 120
17.8, 6.55, 95.83333333333334, 120
18.0, 6.55, 97.5, 120
18.2, 6.55, 95.83333333333334, 120
18.4, 6.55, 98.33333333333333, 120
18.6, 6.55, 95.83333333333333, 120
18.8, 6.55, 99.16666666666667, 120
19.0, 6.55, 99.16666666666667, 120
19.2, 6.55, 96.66666666666667, 120
19.4, 6.55, 94.16666666666666, 120
19.6, 6.55, 95.83333333333334, 120
19.8, 6.55, 94.16666666666667, 120
20.0, 6.55, 96.66666666666667, 120
20.2, 6.55, 90.83333333333334, 120
20.4, 6.55, 81.66666666666667, 120
20.6, 6.55, 79.16666666666667, 120
20.8, 6.55, 69.16666666666667, 120
21.0, 6.55, 45.0, 120
21.2, 6.55, 28.333333333333332, 120
21.4, 6.55, 31.666666666666664, 120
21.6, 6.55, 11.666666666666666, 120
21.8, 6.55, 12.5, 120
22.0, 6.55, 0.8333333333333334, 120
22.2, 6.55, 5.0, 120
22.4, 6.55, 5.0, 120
16.0, 7.336, 96.66666666666667, 120
16.2, 7.336, 95.83333333333334, 120
16.4, 7.336, 97.5, 120
16.6, 7.336, 95.0, 120
16.8, 7.336, 97.5, 120
17.0, 7.336, 96.66666666666666, 120
17.2, 7.336, 98.33333333333334, 120
17.4, 7.336, 98.33333333333334, 120
17.6, 7.336, 99.16666666666667, 120
17.8, 7.336, 94.99999999999999, 120
18.0, 7.336, 97.5, 120
18.2, 7.336, 96.66666666666667, 120
18.4, 7.336, 98.33333333333334, 120
18.6, 7.336, 99.16666666666667, 120
18.8, 7.336, 98.33333333333333, 120
19.0, 7.336, 96.66666666666667, 120
19.2, 7.336, 97.50000000000001, 120
19.4, 7.336, 95.0, 120
19.6, 7.336, 97.5, 120
19.8, 7.336, 93.33333333333334, 120
20.0, 7.336, 94.16666666666667, 120
20.2, 7.336, 88.33333333333334, 120
20.4, 7.336, 88.33333333333334, 120
20.6, 7.336, 84.16666666666666, 120
20.8, 7.336, 62.5, 120
21.0, 7.336, 46.66666666666667, 120
21.2, 7.336, 33.33333333333333, 120
21.4, 7.336, 23.333333333333332, 120
21.6, 7.336, 14.166666666666666, 120
21.8, 7.336, 4.166666666666667, 120
22.0, 7.336, 7.499999999999999, 120
22.2, 7.336, 5.0, 120
22.4, 7.336, 2.5, 120
16.0, 8.384, 99.16666666666667, 120
16.2, 8.384, 98.33333333333334, 120
16.4, 8.384, 98.33333333333334, 120
16.6, 8.384, 98.33333333333334, 120
16.8, 8.384, 98.33333333333334, 120
17.0, 8.384, 99.16666666666667, 120
17.2, 8.384, 98.33333333333334, 120
17.4, 8.384, 96.66666666666667, 120
17.6, 8.384, 97.50000000000001, 120
17.8, 8.384, 98.33333333333334, 120
18.0, 8.384, 99.16666666666667, 120
18.2, 8.384, 96.66666666666667, 120
18.4, 8.384, 100.0, 120
18.6, 8.384, 96.66666666666667, 120
18.8, 8.384, 96.66666666666667, 120
19.0, 8.384, 95.83333333333333, 120
19.2, 8.384, 98.33333333333334, 120
19.4, 8.384, 97.5, 120
19.6, 8.384, 96.66666666666667, 120
19.8, 8.384, 99.16666666666667, 120
20.0, 8.384, 93.33333333333333, 120
20.2, 8.384, 94.16666666666666, 120
20.4, 8.384, 87.5, 120
20.6, 8.384, 80.0, 120
20.8, 8.384, 60.83333333333333, 120
21.0, 8.384, 45.0, 120
21.2, 8.384, 27.5, 120
21.4, 8.384, 11.666666666666666, 120
21.6, 8.384, 11.666666666666668, 120
21.8, 8.384, 5.0, 120
22.0, 8.384, 8.333333333333332, 120
22.2, 8.384, 7.5, 120
22.4, 8.384, 5.0, 120
16.0, 9.17, 98.33333333333334, 120
16.2, 9.17, 97.5, 120
16.4, 9.17, 99.16666666666667, 120
16.6, 9.17, 97.5, 120
16.8, 9.17, 99.16666666666667, 120
17.0, 9.17, 95.83333333333334, 120
17.2, 9.17, 100.0, 120
17.4, 9.17, 95.83333333333334, 120
17.6, 9.17, 97.5, 120
17.8, 9.17, 100.0, 120
18.0, 9.17, 96.66666666666667, 120
18.2, 9.17, 97.50000000000001, 120
18.4, 9.17, 99.16666666666667, 120
18.6, 9.17, 97.5, 120
18.8, 9.17, 95.83333333333334, 120
19.0, 9.17, 93.33333333333333, 120
19.2, 9.17, 96.66666666666667, 120
19.4, 9.17, 98.33333333333334, 120
19.6, 9.17, 98.33333333333333, 120
19.8, 9.17, 98.33333333333334, 120
20.0, 9.17, 92.50000000000001, 120
20.2, 9.17, 91.66666666666667, 120
20.4, 9.17, 84.16666666666667, 120
20.6, 9.17, 72.5, 120
20.8, 9.17, 54.166666666666664, 120
21.0, 9.17, 41.66666666666667, 120
21.2, 9.17, 25.0, 120
21.4, 9.17, 16.666666666666664, 120
21.6, 9.17, 7.5, 120
21.8, 9.17, 8.333333333333334, 120
22.0, 9.17, 5.833333333333333, 120
22.2, 9.17, 3.3333333333333335, 120
22.4, 9.17, 5.0, 120
16.0, 10.48, 98.33333333333334, 120
16.2, 10.48, 98.33333333333333, 120
16.4, 10.48, 99.16666666666667, 120
16.6, 10.48, 96.66666666666667, 120
16.8, 10.48, 98.33333333333334, 120
17.0, 10.48, 97.5, 120
17.2, 10.48, 97.5, 120
17.4, 10.48, 97.5, 120
17.6, 10.48, 97.5, 120
17.8, 10.48, 96.66666666666667, 120
18.0, 10.48, 97.50000000000001, 120
18.2, 10.48, 99.16666666666667, 120
18.4, 10.48, 97.50000000000001, 120
18.6, 10.48, 99.16666666666667, 120
18.8, 10.48, 97.5, 120
19.0, 10.48, 98.33333333333333, 120
19.2, 10.48, 96.66666666666666, 120
19.4, 10.48, 97.5, 120
19.6, 10.48, 95.83333333333333, 120
19.8, 10.48, 97.5, 120
20.0, 10.48, 93.33333333333334, 120
20.2, 10.48, 88.33333333333334, 120
20.4, 10.48, 73.33333333333334, 120
20.6, 10.48, 62.49999999999999, 120
20.8, 10.48, 49.166666666666664, 120
21.0, 10.48, 32.5, 120
21.2, 10.48, 17.5, 120
21.4, 10.48, 9.166666666666666, 120
21.6, 10.48, 9.166666666666666, 120
21.8, 10.48, 10.833333333333334, 120
22.0, 10.48, 5.0, 120
22.2, 10.48, 7.500000000000001, 120
22.4, 10.48, 5.833333333333333, 120
16.0, 11.79, 99.16666666666667, 120
16.2, 11.79, 99.16666666666667, 120
16.4, 11.79, 96.66666666666667, 120
16.6, 11.79, 96.66666666666667, 120
16.8, 11.79, 97.5, 120
17.0, 11.79, 97.50000000000001, 120
17.2, 11.79, 97.5, 120
17.4, 11.79, 99.16666666666667, 120
17.6, 11.79, 98.33333333333333, 120
17.8, 11.79, 97.5, 120
18.0, 11.79, 96.66666666666667, 120
18.2, 11.79, 99.16666666666667, 120
18.4, 11.79, 99.16666666666667, 120
18.6, 11.79, 98.33333333333334, 120
18.8, 11.79, 96.66666666666667, 120
19.0, 11.79, 98.33333333333334, 120
19.2, 11.79, 97.5, 120
19.4, 11.79, 97.5, 120
19.6, 11.79, 98.33333333333334, 120
19.8, 11.79, 93.33333333333334, 120
20.0, 11.79, 85.83333333333333, 120
20.2, 11.79, 91.66666666666667, 120
20.4, 11.79, 71.66666666666666, 120
20.6, 11.79, 53.33333333333333, 120
20.8, 11.79, 44.166666666666664, 120
21.0, 11.79, 26.666666666666664, 120
21.2, 11.79, 12.499999999999998, 120
21.4, 11.79, 10.833333333333334, 120
21.6, 11.79, 6.666666666666667, 120
21.8, 11.79, 6.666666666666667, 120
22.0, 11.79, 4.166666666666667, 120
22.2, 11.79, 4.166666666666667, 120
22.4, 11.79, 5.0, 120
16.0, 13.1, 96.66666666666667, 120
16.2, 13.1, 98.33333333333334, 120
16.4, 13.1, 99.16666666666667, 120
16.6, 13.1, 99.16666666666667, 120
16.8, 13.1, 98.33333333333334, 120
17.0, 13.1, 99.16666666666667, 120
17.2, 13.1, 97.5, 120
17.4, 13.1, 98.33333333333334, 120
17.6, 13.1, 99.16666666666667, 120
17.8, 13.1, 98.33333333333334, 120
18.0, 13.1, 99.16666666666667, 120
18.2, 13.1, 99.16666666666667, 120
18.4, 13.1, 98.33333333333334, 120
18.6, 13.1, 95.00000000000001, 120
18.8, 13.1, 99.16666666666667, 120
19.0, 13.1, 98.33333333333333, 120
19.2, 13.1, 97.50000000000001, 120
19.4, 13.1, 95.0, 120
19.6, 13.1, 97.5, 120
19.8, 13.1, 95.83333333333334, 120
20.0, 13.1, 90.83333333333333, 120
20.2, 13.1, 82.5, 120
20.4, 13.1, 71.66666666666666, 120
20.6, 13.1, 55.00000000000001, 120
20.8, 13.1, 38.33333333333333, 120
21.0, 13.1, 16.666666666666664, 120
21.2, 13.1, 7.5, 120
21.4, 13.1, 5.833333333333333, 120
21.6, 13.1, 5.0, 120
21.8, 13.1, 4.166666666666667, 120
22.0, 13.1, 3.3333333333333335, 120
22.2, 13.1, 5.0, 120
22.4, 13.1, 2.5, 120
16.0, 14.672, 98.33333333333334, 120
16.2, 14.672, 96.66666666666667, 120
16.4, 14.672, 98.33333333333334, 120
16.6, 14.672, 100.0, 120
16.8, 14.672, 100.0, 120
17.0, 14.672, 98.33333333333333, 120
17.2, 14.672, 98.33333333333333, 120
17.4, 14.672, 99.16666666666667, 120
17.6, 14.672, 99.16666666666667, 120
17.8, 14.672, 95.83333333333333, 120
18.0, 14.672, 97.5, 120
18.2, 14.672, 100.0, 120
18.4, 14.672, 99.16666666666667, 120
18.6, 14.672, 95.0, 120
18.8, 14.672, 97.5, 120
19.0, 14.672, 99.16666666666667, 120
19.2, 14.672, 95.00000000000001, 120
19.4, 14.672, 95.83333333333333, 120
19.6, 14.672, 94.16666666666667, 120
19.8, 14.672, 92.5, 120
20.0, 14.672, 91.66666666666667, 120
20.2, 14.672, 71.66666666666667, 120
20.4, 14.672, 63.33333333333333, 120
20.6, 14.672, 35.83333333333333, 120
20.8, 14.672, 24.166666666666664, 120
21.0, 14.672, 18.333333333333332, 120
21.2, 14.672, 13.333333333333332, 120
21.4, 14.672, 8.333333333333334, 120
21.6, 14.672, 9.166666666666666, 120
21.8, 14.672, 5.833333333333334, 120
22.0, 14.672, 4.166666666666667, 120
22.2, 14.672, 1.6666666666666667, 120
22.4, 14.672, 7.500000000000001, 120
16.0, 16.506, 100.0, 120
16.2, 16.506, 99.16666666666667, 120
16.4, 16.506, 97.5, 120
16.6, 16.506, 100.0, 120
16.8, 16.506, 97.5, 120
17.0, 16.506, 99.16666666666667, 120
17.2, 16.506, 95.83333333333333, 120
17.4, 16.506, 96.66666666666667, 120
17.6, 16.506, 96.66666666666667, 120
17.8, 16.506, 99.16666666666667, 120
18.0, 16.506, 99.16666666666667, 120
18.2, 16.506, 99.16666666666667, 120
18.4, 16.506, 96.66666666666667, 120
18.6, 16.506, 99.16666666666667, 120
18.8, 16.506, 99.16666666666667, 120
19.0, 16.506, 98.33333333333333, 120
19.2, 16.506, 95.0, 120
19.4, 16.506, 95.83333333333333, 120
19.6, 16.506, 97.5, 120
19.8, 16.506, 89.16666666666667, 120
20.0, 16.506, 76.66666666666667, 120
20.2, 16.506, 65.83333333333333, 120
20.4, 16.506, 45.833333333333336, 120
20.6, 16.506, 33.33333333333333, 120
20.8, 16.506, 19.166666666666668, 120
21.0, 16.506, 16.666666666666664, 120
21.2, 16.506, 7.5, 120
21.4, 16.506, 5.833333333333333, 120
