mag,rho,eff_rd
16.4,3.162,0.0
16.6,3.162,1.25
16.8,3.162,2.5
17.0,3.162,5.0
17.2,3.162,6.25
17.4,3.162,5.0
17.6,3.162,2.5
17.8,3.162,6.25
18.0,3.162,23.75
18.2,3.162,25.0
18.4,3.162,38.75
18.6,3.162,33.75
18.8,3.162,41.25
19.0,3.162,33.75
19.2,3.162,48.75
19.4,3.162,45.0
19.6,3.162,41.25
19.8,3.162,45.0
20.0,3.162,45.0
20.2,3.162,42.5
20.4,3.162,33.75
20.6,3.162,31.25
20.8,3.162,30.0
21.0,3.162,25.0
21.2,3.162,20.0
21.4,3.162,11.25
21.6,3.162,15.0
21.8,3.162,10.0
22.0,3.162,10.0
22.2,3.162,6.25
22.4,3.162,1.25
16.4,3.548,3.75
16.6,3.548,8.75
16.8,3.548,2.5
17.0,3.548,1.25
17.2,3.548,6.25
17.4,3.548,8.75
17.6,3.548,12.5
17.8,3.548,11.25
18.0,3.548,35.0
18.2,3.548,42.5
18.4,3.548,55.0
18.6,3.548,41.25
18.8,3.548,55.0
19.0,3.548,50.0
19.2,3.548,60.0
19.4,3.548,58.75
19.6,3.548,58.75
19.8,3.548,58.75
20.0,3.548,42.5
20.2,3.548,46.25
20.4,3.548,57.5
20.6,3.548,46.25
20.8,3.548,38.75
21.0,3.548,43.75
21.2,3.548,25.0
21.4,3.548,13.75
21.6,3.548,17.5
21.8,3.548,8.75
22.0,3.548,12.5
22.2,3.548,7.5
22.4,3.548,5.0
16.4,4.467,3.75
16.6,4.467,5.0
16.8,4.467,7.5
17.0,4.467,13.75
17.2,4.467,22.5
17.4,4.467,50.0
17.6,4.467,57.5
17.8,4.467,58.75
18.0,4.467,61.25
18.2,4.467,61.25
18.4,4.467,63.75
18.6,4.467,67.5
18.8,4.467,71.25
19.0,4.467,71.25
19.2,4.467,68.75
19.4,4.467,68.75
19.6,4.467,70.0
19.8,4.467,67.5
20.0,4.467,68.75
20.2,4.467,58.75
20.4,4.467,50.0
20.6,4.467,52.5
20.8,4.467,47.5
21.0,4.467,35.0
21.2,4.467,38.75
21.4,4.467,22.5
21.6,4.467,18.75
21.8,4.467,18.75
22.0,4.467,15.0
22.2,4.467,3.75
22.4,4.467,12.5
16.4,5.012,5.0
