#Column 1: Magnitude of injected artificial galaxy 
#Column 2: Effective radius in arcsecsonds of the injected artificial galaxy 
#Column 3: The algroithm's percentage (0 to 100) of objects recovered 
#Column 4: The number of artificial galaxies injected 
mag,rho,eff_rd, n_inj 
15.4, 2.62, 1.25, 160
15.6, 2.62, 3.125, 160
15.8, 2.62, 0.625, 160
16.0, 2.62, 3.125, 160
16.2, 2.62, 4.375, 160
16.4, 2.62, 1.875, 160
16.6, 2.62, 2.5, 160
16.8, 2.62, 2.5, 160
17.0, 2.62, 0.0, 160
17.2, 2.62, 3.75, 160
17.4, 2.62, 3.125, 160
17.6, 2.62, 8.75, 160
17.8, 2.62, 15.0, 160
18.0, 2.62, 24.375, 160
18.2, 2.62, 33.75, 160
18.4, 2.62, 38.125, 160
18.6, 2.62, 45.0, 160
18.8, 2.62, 51.25, 160
19.0, 2.62, 49.375, 160
19.2, 2.62, 45.625, 160
19.4, 2.62, 55.0, 160
19.6, 2.62, 53.125, 160
19.8, 2.62, 47.5, 160
20.0, 2.62, 42.5, 160
20.2, 2.62, 46.25, 160
20.4, 2.62, 38.125, 160
20.6, 2.62, 39.375, 160
20.8, 2.62, 23.125, 160
21.0, 2.62, 21.25, 160
21.2, 2.62, 18.75, 160
21.4, 2.62, 16.875, 160
21.6, 2.62, 11.25, 160
21.8, 2.62, 13.75, 160
22.0, 2.62, 6.25, 160
22.2, 2.62, 5.0, 160
22.4, 2.62, 3.125, 160
15.4, 2.882, 3.125, 160
15.6, 2.882, 2.5, 160
15.8, 2.882, 1.875, 160
16.0, 2.882, 2.5, 160
16.2, 2.882, 1.875, 160
16.4, 2.882, 0.625, 160
16.6, 2.882, 0.625, 160
16.8, 2.882, 3.125, 160
17.0, 2.882, 3.125, 160
17.2, 2.882, 5.625, 160
17.4, 2.882, 13.125, 160
17.6, 2.882, 25.625, 160
17.8, 2.882, 38.75, 160
18.0, 2.882, 48.125, 160
18.2, 2.882, 50.625, 160
18.4, 2.882, 50.0, 160
18.6, 2.882, 56.25, 160
18.8, 2.882, 61.25, 160
19.0, 2.882, 65.625, 160
19.2, 2.882, 61.25, 160
19.4, 2.882, 56.875, 160
19.6, 2.882, 50.625, 160
19.8, 2.882, 56.25, 160
20.0, 2.882, 58.125, 160
20.2, 2.882, 53.125, 160
20.4, 2.882, 50.625, 160
20.6, 2.882, 48.75, 160
