#Column 1: lower magnitude range of bin in apparent g magnitude 
#Column 2: upper magnitude range of bin in apparent g magnitude 
#Column 3: lower effective magnitude range in arcseconds 
#Column 4: upper effective magnitude range in arcseconds 
#Column 5: Combined algorithm and visual inspection recovery fraction within this range in percentage from 0 to 100 
# A value of Nan means no artificial galaxies were injected for visual inspection within this bin 
#Column 6: Number of artificial galaxies injected for visual inspection within this bin 
l_mag, h_mag, l_e_r, h_e_r, eff_rd 
16.13, 15.75, 2.51, 3.41, 0.0, 1
16.13, 15.75, 3.41, 4.64, Nan,  0
16.13, 15.75, 4.64, 6.31, Nan,  0
16.13, 15.75, 6.31, 8.58, Nan,  0
16.13, 15.75, 8.58, 11.66, Nan,  0
16.13, 15.75, 11.66, 15.85, 48.05556, 6
16.13, 15.75, 15.85, 21.54, 48.33333, 4
16.13, 15.75, 21.54, 29.29, Nan,  0
16.13, 15.75, 29.29, 39.81, 98.61111, 1
16.13, 15.75, 39.81, 54.12, 96.52778, 3
16.13, 15.75, 54.12, 73.56, Nan,  0
16.13, 15.75, 73.56, 100.0, Nan,  0
16.5, 16.13, 2.51, 3.41, Nan,  0
16.5, 16.13, 3.41, 4.64, 0.0, 1
16.5, 16.13, 4.64, 6.31, Nan,  0
16.5, 16.13, 6.31, 8.58, 0.0, 1
16.5, 16.13, 8.58, 11.66, 12.13542, 8
16.5, 16.13, 11.66, 15.85, 41.96429, 7
16.5, 16.13, 15.85, 21.54, 64.81481, 6
16.5, 16.13, 21.54, 29.29, 96.45833, 4
16.5, 16.13, 29.29, 39.81, 97.22222, 4
16.5, 16.13, 39.81, 54.12, 65.0463, 3
16.5, 16.13, 54.12, 73.56, 65.97222, 3
16.5, 16.13, 73.56, 100.0, 39.72222, 5
16.88, 16.5, 2.51, 3.41, 0.0, 2
16.88, 16.5, 3.41, 4.64, 0.0, 1
16.88, 16.5, 4.64, 6.31, Nan,  0
16.88, 16.5, 6.31, 8.58, 0.0, 4
16.88, 16.5, 8.58, 11.66, 27.08333, 7
16.88, 16.5, 11.66, 15.85, 55.15873, 7
16.88, 16.5, 15.85, 21.54, 96.94444, 5
16.88, 16.5, 21.54, 29.29, 96.45833, 5
16.88, 16.5, 29.29, 39.81, 99.65278, 5
16.88, 16.5, 39.81, 54.12, 97.91667, 5
16.88, 16.5, 54.12, 73.56, 72.26562, 4
16.88, 16.5, 73.56, 100.0, 0.0, 1
17.26, 16.88, 2.51, 3.41, 0.0, 1
17.26, 16.88, 3.41, 4.64, 0.0, 2
17.26, 16.88, 4.64, 6.31, 0.0, 1
17.26, 16.88, 6.31, 8.58, 23.54167, 4
17.26, 16.88, 8.58, 11.66, 69.19643, 7
17.26, 16.88, 11.66, 15.85, 97.22222, 4
17.26, 16.88, 15.85, 21.54, 98.19444, 4
17.26, 16.88, 21.54, 29.29, 97.5, 4
17.26, 16.88, 29.29, 39.81, 98.26389, 9
17.26, 16.88, 39.81, 54.12, 78.05556, 5
17.26, 16.88, 54.12, 73.56, 82.03125, 6
17.26, 16.88, 73.56, 100.0, 24.65278, 4
17.63, 17.26, 2.51, 3.41, 0.0, 3
17.63, 17.26, 3.41, 4.64, Nan,  0
17.63, 17.26, 4.64, 6.31, 8.38384, 11
17.63, 17.26, 6.31, 8.58, 0.0, 6
17.63, 17.26, 8.58, 11.66, 80.38194, 6
17.63, 17.26, 11.66, 15.85, 95.97222, 4
17.63, 17.26, 15.85, 21.54, 97.22222, 12
17.63, 17.26, 21.54, 29.29, 96.45833, 5
17.63, 17.26, 29.29, 39.81, 97.56944, 5
17.63, 17.26, 39.81, 54.12, 48.4375, 8
17.63, 17.26, 54.12, 73.56, 13.76488, 7
17.63, 17.26, 73.56, 100.0, 0.0, 1
18.01, 17.63, 2.51, 3.41, 0.0, 8
18.01, 17.63, 3.41, 4.64, 0.0, 5
18.01, 17.63, 4.64, 6.31, 15.55556, 6
18.01, 17.63, 6.31, 8.58, 78.35648, 6
18.01, 17.63, 8.58, 11.66, 84.21875, 8
18.01, 17.63, 11.66, 15.85, 94.58333, 5
18.01, 17.63, 15.85, 21.54, 96.25, 9
18.01, 17.63, 21.54, 29.29, 96.04167, 10
18.01, 17.63, 29.29, 39.81, 47.74306, 4
18.01, 17.63, 39.81, 54.12, 41.22024, 7
18.01, 17.63, 54.12, 73.56, 0.0, 2
18.01, 17.63, 73.56, 100.0, 0.0, 1
18.39, 18.01, 2.51, 3.41, 0.0, 3
18.39, 18.01, 3.41, 4.64, 0.0, 5
18.39, 18.01, 4.64, 6.31, 0.0, 5
18.39, 18.01, 6.31, 8.58, 92.77778, 8
18.39, 18.01, 8.58, 11.66, 93.33333, 5
18.39, 18.01, 11.66, 15.85, 72.08333, 8
18.39, 18.01, 15.85, 21.54, 76.44444, 5
18.39, 18.01, 21.54, 29.29, 75.33333, 10
18.39, 18.01, 29.29, 39.81, 81.59722, 6
18.39, 18.01, 39.81, 54.12, 10.64815, 9
18.39, 18.01, 54.12, 73.56, 0.0, 8
18.39, 18.01, 73.56, 100.0, 0.0, 5
18.76, 18.39, 2.51, 3.41, 0.0, 4
18.76, 18.39, 3.41, 4.64, 40.9375, 6
18.76, 18.39, 4.64, 6.31, 52.69841, 7
18.76, 18.39, 6.31, 8.58, 83.48958, 8
18.76, 18.39, 8.58, 11.66, 96.45833, 11
18.76, 18.39, 11.66, 15.85, 79.74537, 6
18.76, 18.39, 15.85, 21.54, 81.30952, 7
18.76, 18.39, 21.54, 29.29, 82.14744, 13
18.76, 18.39, 29.29, 39.81, 57.08333, 5
18.76, 18.39, 39.81, 54.12, 0.0, 8
18.76, 18.39, 54.12, 73.56, 0.0, 4
18.76, 18.39, 73.56, 100.0, 0.0, 3
19.14, 18.76, 2.51, 3.41, 0.0, 3
19.14, 18.76, 3.41, 4.64, 36.28472, 12
19.14, 18.76, 4.64, 6.31, 77.77778, 12
19.14, 18.76, 6.31, 8.58, 83.48958, 8
19.14, 18.76, 8.58, 11.66, 96.45833, 8
19.14, 18.76, 11.66, 15.85, 96.52778, 8
19.14, 18.76, 15.85, 21.54, 63.88889, 9
19.14, 18.76, 21.54, 29.29, 48.02083, 8
19.14, 18.76, 29.29, 39.81, 28.4375, 10
19.14, 18.76, 39.81, 54.12, 0.0, 5
19.14, 18.76, 54.12, 73.56, 0.0, 7
19.14, 18.76, 73.56, 100.0, Nan,  0
19.52, 19.14, 2.51, 3.41, 11.72222, 5
19.52, 19.14, 3.41, 4.64, 48.06818, 11
19.52, 19.14, 4.64, 6.31, 93.75, 9
19.52, 19.14, 6.31, 8.58, 95.13889, 16
19.52, 19.14, 8.58, 11.66, 95.83333, 14
19.52, 19.14, 11.66, 15.85, 94.86111, 7
19.52, 19.14, 15.85, 21.54, 46.80556, 12
19.52, 19.14, 21.54, 29.29, 57.55208, 8
19.52, 19.14, 29.29, 39.81, 22.04861, 8
19.52, 19.14, 39.81, 54.12, 0.0, 5
19.52, 19.14, 54.12, 73.56, 0.0, 5
19.52, 19.14, 73.56, 100.0, 0.0, 1
19.89, 19.52, 2.51, 3.41, 8.03571, 7
19.89, 19.52, 3.41, 4.64, 46.70455, 11
19.89, 19.52, 4.64, 6.31, 93.05556, 11
19.89, 19.52, 6.31, 8.58, 95.27778, 6
19.89, 19.52, 8.58, 11.66, 94.79167, 8
19.89, 19.52, 11.66, 15.85, 86.23737, 11
19.89, 19.52, 15.85, 21.54, 23.09028, 8
19.89, 19.52, 21.54, 29.29, 0.0, 5
19.89, 19.52, 29.29, 39.81, 6.36574, 9
19.89, 19.52, 39.81, 54.12, 0.0, 8
19.89, 19.52, 54.12, 73.56, 0.0, 5
19.89, 19.52, 73.56, 100.0, Nan,  0
20.27, 19.89, 2.51, 3.41, 23.33333, 10
20.27, 19.89, 3.41, 4.64, 67.1875, 6
20.27, 19.89, 4.64, 6.31, 90.97222, 11
20.27, 19.89, 6.31, 8.58, 94.16667, 6
20.27, 19.89, 8.58, 11.66, 81.84896, 8
20.27, 19.89, 11.66, 15.85, 78.33333, 14
20.27, 19.89, 15.85, 21.54, 31.21212, 11
20.27, 19.89, 21.54, 29.29, 4.61538, 13
20.27, 19.89, 29.29, 39.81, 0.0, 7
20.27, 19.89, 39.81, 54.12, 0.0, 11
20.27, 19.89, 54.12, 73.56, 0.0, 1
20.27, 19.89, 73.56, 100.0, Nan,  0
20.65, 20.27, 2.51, 3.41, 21.27778, 5
20.65, 20.27, 3.41, 4.64, 53.28125, 4
20.65, 20.27, 4.64, 6.31, 71.875, 6
20.65, 20.27, 6.31, 8.58, 88.75, 8
20.65, 20.27, 8.58, 11.66, 72.22222, 6
20.65, 20.27, 11.66, 15.85, 38.81944, 6
20.65, 20.27, 15.85, 21.54, 7.63889, 7
20.65, 20.27, 21.54, 29.29, 0.0, 4
20.65, 20.27, 29.29, 39.81, 0.0, 2
20.65, 20.27, 39.81, 54.12, 0.0, 5
20.65, 20.27, 54.12, 73.56, 0.0, 1
20.65, 20.27, 73.56, 100.0, Nan,  0
21.02, 20.65, 2.51, 3.41, 24.91667, 5
21.02, 20.65, 3.41, 4.64, 49.85119, 7
