#Column 1: lower magnitude range of bin in apparent g magnitude 
#Column 2: upper magnitude range of bin in apparent g magnitude 
#Column 3: lower effective magnitude range in arcseconds 
#Column 4: upper effective magnitude range in arcseconds 
#Column 5: Combined algorithm and visual inspection recovery fraction within this range in percentage from 0 to 100 
# A value of Nan means no artificial galaxies were injected for visual inspection within this bin 
#Column 6: Number of artificial galaxies injected for visual inspection within this bin 
l_mag, h_mag, l_e_r, h_e_r, eff_rd 
16.13, 15.75, 2.51, 3.41, 0.0, 1
16.13, 15.75, 3.41, 4.64, Nan,  0
16.13, 15.75, 4.64, 6.31, Nan,  0
16.13, 15.75, 6.31, 8.58, Nan,  0
16.13, 15.75, 8.58, 11.66, Nan,  0
16.13, 15.75, 11.66, 15.85, 46.52778, 6
16.13, 15.75, 15.85, 21.54, 46.80556, 4
16.13, 15.75, 21.54, 29.29, Nan,  0
16.13, 15.75, 29.29, 39.81, 94.44444, 1
16.13, 15.75, 39.81, 54.12, 95.83333, 3
16.13, 15.75, 54.12, 73.56, Nan,  0
16.13, 15.75, 73.56, 100.0, Nan,  0
16.5, 16.13, 2.51, 3.41, Nan,  0
16.5, 16.13, 3.41, 4.64, 0.0, 1
16.5, 16.13, 4.64, 6.31, Nan,  0
16.5, 16.13, 6.31, 8.58, 0.0, 1
16.5, 16.13, 8.58, 11.66, 11.69271, 8
16.5, 16.13, 11.66, 15.85, 39.88095, 7
16.5, 16.13, 15.85, 21.54, 61.66667, 6
16.5, 16.13, 21.54, 29.29, 93.33333, 4
16.5, 16.13, 29.29, 39.81, 96.18056, 4
16.5, 16.13, 39.81, 54.12, 63.19444, 3
16.5, 16.13, 54.12, 73.56, 61.11111, 3
16.5, 16.13, 73.56, 100.0, 39.72222, 5
16.88, 16.5, 2.51, 3.41, 0.0, 2
16.88, 16.5, 3.41, 4.64, 0.0, 1
16.88, 16.5, 4.64, 6.31, Nan,  0
16.88, 16.5, 6.31, 8.58, 0.0, 4
16.88, 16.5, 8.58, 11.66, 26.60714, 7
16.88, 16.5, 11.66, 15.85, 52.30159, 7
16.88, 16.5, 15.85, 21.54, 93.33333, 5
16.88, 16.5, 21.54, 29.29, 92.29167, 5
16.88, 16.5, 29.29, 39.81, 94.09722, 5
16.88, 16.5, 39.81, 54.12, 95.13889, 5
16.88, 16.5, 54.12, 73.56, 69.92188, 4
16.88, 16.5, 73.56, 100.0, 0.0, 1
17.26, 16.88, 2.51, 3.41, 0.0, 1
17.26, 16.88, 3.41, 4.64, 0.0, 2
17.26, 16.88, 4.64, 6.31, 0.0, 1
17.26, 16.88, 6.31, 8.58, 23.4375, 4
17.26, 16.88, 8.58, 11.66, 64.73214, 7
17.26, 16.88, 11.66, 15.85, 90.97222, 4
17.26, 16.88, 15.85, 21.54, 91.94444, 4
17.26, 16.88, 21.54, 29.29, 94.16667, 4
17.26, 16.88, 29.29, 39.81, 93.05556, 9
17.26, 16.88, 39.81, 54.12, 76.11111, 5
17.26, 16.88, 54.12, 73.56, 78.99306, 6
17.26, 16.88, 73.56, 100.0, 23.95833, 4
17.63, 17.26, 2.51, 3.41, 0.0, 3
17.63, 17.26, 3.41, 4.64, Nan,  0
17.63, 17.26, 4.64, 6.31, 7.95455, 11
17.63, 17.26, 6.31, 8.58, 0.0, 6
17.63, 17.26, 8.58, 11.66, 76.73611, 6
17.63, 17.26, 11.66, 15.85, 92.77778, 4
17.63, 17.26, 15.85, 21.54, 91.52778, 12
17.63, 17.26, 21.54, 29.29, 93.125, 5
17.63, 17.26, 29.29, 39.81, 93.75, 5
17.63, 17.26, 39.81, 54.12, 46.00694, 8
17.63, 17.26, 54.12, 73.56, 13.46726, 7
17.63, 17.26, 73.56, 100.0, 0.0, 1
18.01, 17.63, 2.51, 3.41, 0.0, 8
18.01, 17.63, 3.41, 4.64, 0.0, 5
18.01, 17.63, 4.64, 6.31, 14.67593, 6
18.01, 17.63, 6.31, 8.58, 75.46296, 6
18.01, 17.63, 8.58, 11.66, 80.57292, 8
18.01, 17.63, 11.66, 15.85, 91.25, 5
18.01, 17.63, 15.85, 21.54, 91.80556, 9
18.01, 17.63, 21.54, 29.29, 94.58333, 10
18.01, 17.63, 29.29, 39.81, 45.3125, 4
18.01, 17.63, 39.81, 54.12, 39.1369, 7
18.01, 17.63, 54.12, 73.56, 0.0, 2
18.01, 17.63, 73.56, 100.0, 0.0, 1
18.39, 18.01, 2.51, 3.41, 0.0, 3
18.39, 18.01, 3.41, 4.64, 0.0, 5
18.39, 18.01, 4.64, 6.31, 0.0, 5
18.39, 18.01, 6.31, 8.58, 91.11111, 8
18.39, 18.01, 8.58, 11.66, 94.16667, 5
18.39, 18.01, 11.66, 15.85, 68.54167, 8
18.39, 18.01, 15.85, 21.54, 74.88889, 5
18.39, 18.01, 21.54, 29.29, 71.0, 10
18.39, 18.01, 29.29, 39.81, 78.7037, 6
18.39, 18.01, 39.81, 54.12, 9.72222, 9
18.39, 18.01, 54.12, 73.56, 0.0, 8
18.39, 18.01, 73.56, 100.0, 0.0, 5
18.76, 18.39, 2.51, 3.41, 0.0, 4
18.76, 18.39, 3.41, 4.64, 38.125, 6
18.76, 18.39, 4.64, 6.31, 49.84127, 7
18.76, 18.39, 6.31, 8.58, 80.20833, 8
18.76, 18.39, 8.58, 11.66, 90.41667, 11
18.76, 18.39, 11.66, 15.85, 76.50463, 6
18.76, 18.39, 15.85, 21.54, 79.04762, 7
18.76, 18.39, 21.54, 29.29, 78.44551, 13
18.76, 18.39, 29.29, 39.81, 55.20833, 5
18.76, 18.39, 39.81, 54.12, 0.0, 8
18.76, 18.39, 54.12, 73.56, 0.0, 4
18.76, 18.39, 73.56, 100.0, 0.0, 3
19.14, 18.76, 2.51, 3.41, 0.0, 3
19.14, 18.76, 3.41, 4.64, 33.59375, 12
19.14, 18.76, 4.64, 6.31, 71.41204, 12
19.14, 18.76, 6.31, 8.58, 78.99306, 8
19.14, 18.76, 8.58, 11.66, 92.08333, 8
19.14, 18.76, 11.66, 15.85, 90.27778, 8
19.14, 18.76, 15.85, 21.54, 61.66667, 9
19.14, 18.76, 21.54, 29.29, 44.375, 8
19.14, 18.76, 29.29, 39.81, 24.89583, 10
19.14, 18.76, 39.81, 54.12, 0.0, 5
19.14, 18.76, 54.12, 73.56, 0.0, 7
19.14, 18.76, 73.56, 100.0, Nan,  0
19.52, 19.14, 2.51, 3.41, 9.52778, 5
19.52, 19.14, 3.41, 4.64, 42.5, 11
19.52, 19.14, 4.64, 6.31, 84.02778, 9
19.52, 19.14, 6.31, 8.58, 89.86111, 16
19.52, 19.14, 8.58, 11.66, 90.625, 14
19.52, 19.14, 11.66, 15.85, 90.55556, 7
19.52, 19.14, 15.85, 21.54, 45.20833, 12
19.52, 19.14, 21.54, 29.29, 51.69271, 8
19.52, 19.14, 29.29, 39.81, 14.0625, 8
19.52, 19.14, 39.81, 54.12, 0.0, 5
19.52, 19.14, 54.12, 73.56, 0.0, 5
19.52, 19.14, 73.56, 100.0, 0.0, 1
19.89, 19.52, 2.51, 3.41, 7.18254, 7
19.89, 19.52, 3.41, 4.64, 38.86364, 11
19.89, 19.52, 4.64, 6.31, 83.75, 11
19.89, 19.52, 6.31, 8.58, 88.61111, 6
19.89, 19.52, 8.58, 11.66, 89.375, 8
19.89, 19.52, 11.66, 15.85, 79.0404, 11
19.89, 19.52, 15.85, 21.54, 19.6875, 8
19.89, 19.52, 21.54, 29.29, 0.0, 5
19.89, 19.52, 29.29, 39.81, 2.81636, 9
19.89, 19.52, 39.81, 54.12, 0.0, 8
19.89, 19.52, 54.12, 73.56, 0.0, 5
19.89, 19.52, 73.56, 100.0, Nan,  0
20.27, 19.89, 2.51, 3.41, 19.11111, 10
20.27, 19.89, 3.41, 4.64, 56.77083, 6
20.27, 19.89, 4.64, 6.31, 81.52778, 11
20.27, 19.89, 6.31, 8.58, 84.72222, 6
20.27, 19.89, 8.58, 11.66, 74.92188, 8
20.27, 19.89, 11.66, 15.85, 63.80952, 14
20.27, 19.89, 15.85, 21.54, 18.68687, 11
20.27, 19.89, 21.54, 29.29, 1.97115, 13
20.27, 19.89, 29.29, 39.81, 0.0, 7
20.27, 19.89, 39.81, 54.12, 0.0, 11
20.27, 19.89, 54.12, 73.56, 0.0, 1
20.27, 19.89, 73.56, 100.0, Nan,  0
20.65, 20.27, 2.51, 3.41, 14.44444, 5
20.65, 20.27, 3.41, 4.64, 46.40625, 4
20.65, 20.27, 4.64, 6.31, 58.33333, 6
20.65, 20.27, 6.31, 8.58, 71.94444, 8
20.65, 20.27, 8.58, 11.66, 52.77778, 6
20.65, 20.27, 11.66, 15.85, 22.43056, 6
20.65, 20.27, 15.85, 21.54, 3.45238, 7
20.65, 20.27, 21.54, 29.29, 0.0, 4
20.65, 20.27, 29.29, 39.81, 0.0, 2
20.65, 20.27, 39.81, 54.12, 0.0, 5
20.65, 20.27, 54.12, 73.56, 0.0, 1
20.65, 20.27, 73.56, 100.0, Nan,  0
21.02, 20.65, 2.51, 3.41, 16.0, 5
21.02, 20.65, 3.41, 4.64, 34.375, 7
21.02, 20.65, 4.64, 6.31, 48.19444, 3
