#Column 1: lower magnitude range of bin in apparent g magnitude 
#Column 2: upper magnitude range of bin in apparent g magnitude 
#Column 3: lower effective magnitude range in arcseconds 
#Column 4: upper effective magnitude range in arcseconds 
#Column 5: Combined algorithm and visual inspection recovery fraction within this range in percentage from 0 to 100 
# A value of Nan means no artificial galaxies were injected for visual inspection within this bin 
#Column 6: Number of artificial galaxies injected for visual inspection within this bin 
l_mag, h_mag, l_e_r, h_e_r, eff_rd 
16.13, 15.75, 2.51, 3.41, 0.0, 1
16.13, 15.75, 3.41, 4.64, Nan,  0
16.13, 15.75, 4.64, 6.31, Nan,  0
16.13, 15.75, 6.31, 8.58, Nan,  0
16.13, 15.75, 8.58, 11.66, Nan,  0
16.13, 15.75, 11.66, 15.85, 48.85417, 6
16.13, 15.75, 15.85, 21.54, 48.75, 4
16.13, 15.75, 21.54, 29.29, Nan,  0
16.13, 15.75, 29.29, 39.81, 98.54167, 1
16.13, 15.75, 39.81, 54.12, 97.91667, 3
16.13, 15.75, 54.12, 73.56, Nan,  0
16.13, 15.75, 73.56, 100.0, Nan,  0
16.5, 16.13, 2.51, 3.41, Nan,  0
16.5, 16.13, 3.41, 4.64, 0.0, 1
16.5, 16.13, 4.64, 6.31, Nan,  0
16.5, 16.13, 6.31, 8.58, 0.0, 1
16.5, 16.13, 8.58, 11.66, 12.28516, 8
16.5, 16.13, 11.66, 15.85, 41.60714, 7
16.5, 16.13, 15.85, 21.54, 64.86111, 6
16.5, 16.13, 21.54, 29.29, 97.03125, 4
16.5, 16.13, 29.29, 39.81, 98.54167, 4
16.5, 16.13, 39.81, 54.12, 65.41667, 3
16.5, 16.13, 54.12, 73.56, 65.83333, 3
16.5, 16.13, 73.56, 100.0, 39.66667, 5
16.88, 16.5, 2.51, 3.41, 0.0, 2
16.88, 16.5, 3.41, 4.64, 0.0, 1
16.88, 16.5, 4.64, 6.31, Nan,  0
16.88, 16.5, 6.31, 8.58, 0.0, 4
16.88, 16.5, 8.58, 11.66, 27.41071, 7
16.88, 16.5, 11.66, 15.85, 55.71429, 7
16.88, 16.5, 15.85, 21.54, 98.125, 5
16.88, 16.5, 21.54, 29.29, 97.65625, 5
16.88, 16.5, 29.29, 39.81, 97.5, 5
16.88, 16.5, 39.81, 54.12, 98.54167, 5
16.88, 16.5, 54.12, 73.56, 74.29688, 4
16.88, 16.5, 73.56, 100.0, 0.0, 1
17.26, 16.88, 2.51, 3.41, 0.0, 1
17.26, 16.88, 3.41, 4.64, 0.0, 2
17.26, 16.88, 4.64, 6.31, 0.0, 1
17.26, 16.88, 6.31, 8.58, 24.03646, 4
17.26, 16.88, 8.58, 11.66, 69.53125, 7
17.26, 16.88, 11.66, 15.85, 96.66667, 4
17.26, 16.88, 15.85, 21.54, 97.5, 4
17.26, 16.88, 21.54, 29.29, 97.65625, 4
17.26, 16.88, 29.29, 39.81, 97.91667, 9
17.26, 16.88, 39.81, 54.12, 77.0, 5
17.26, 16.88, 54.12, 73.56, 81.77083, 6
17.26, 16.88, 73.56, 100.0, 24.375, 4
17.63, 17.26, 2.51, 3.41, 0.0, 3
17.63, 17.26, 3.41, 4.64, Nan,  0
17.63, 17.26, 4.64, 6.31, 8.77841, 11
17.63, 17.26, 6.31, 8.58, 0.0, 6
17.63, 17.26, 8.58, 11.66, 80.33854, 6
17.63, 17.26, 11.66, 15.85, 98.33333, 4
17.63, 17.26, 15.85, 21.54, 97.70833, 12
17.63, 17.26, 21.54, 29.29, 96.71875, 5
17.63, 17.26, 29.29, 39.81, 98.33333, 5
17.63, 17.26, 39.81, 54.12, 48.64583, 8
17.63, 17.26, 54.12, 73.56, 13.66071, 7
17.63, 17.26, 73.56, 100.0, 0.0, 1
18.01, 17.63, 2.51, 3.41, 0.0, 8
18.01, 17.63, 3.41, 4.64, 0.0, 5
18.01, 17.63, 4.64, 6.31, 15.85069, 6
18.01, 17.63, 6.31, 8.58, 80.64236, 6
18.01, 17.63, 8.58, 11.66, 84.49219, 8
18.01, 17.63, 11.66, 15.85, 97.8125, 5
18.01, 17.63, 15.85, 21.54, 97.91667, 9
18.01, 17.63, 21.54, 29.29, 97.03125, 10
18.01, 17.63, 29.29, 39.81, 48.54167, 4
18.01, 17.63, 39.81, 54.12, 41.78571, 7
18.01, 17.63, 54.12, 73.56, 0.0, 2
18.01, 17.63, 73.56, 100.0, 0.0, 1
18.39, 18.01, 2.51, 3.41, 0.0, 3
18.39, 18.01, 3.41, 4.64, 0.0, 5
18.39, 18.01, 4.64, 6.31, 0.0, 5
18.39, 18.01, 6.31, 8.58, 95.625, 8
18.39, 18.01, 8.58, 11.66, 94.6875, 5
18.39, 18.01, 11.66, 15.85, 72.34375, 8
18.39, 18.01, 15.85, 21.54, 76.83333, 5
18.39, 18.01, 21.54, 29.29, 78.0, 10
18.39, 18.01, 29.29, 39.81, 80.55556, 6
18.39, 18.01, 39.81, 54.12, 10.37037, 9
18.39, 18.01, 54.12, 73.56, 0.0, 8
18.39, 18.01, 73.56, 100.0, 0.0, 5
18.76, 18.39, 2.51, 3.41, 0.0, 4
18.76, 18.39, 3.41, 4.64, 44.0625, 6
18.76, 18.39, 4.64, 6.31, 54.70238, 7
18.76, 18.39, 6.31, 8.58, 84.76562, 8
18.76, 18.39, 8.58, 11.66, 97.96875, 11
18.76, 18.39, 11.66, 15.85, 80.64236, 6
18.76, 18.39, 15.85, 21.54, 83.39286, 7
18.76, 18.39, 21.54, 29.29, 81.97115, 13
18.76, 18.39, 29.29, 39.81, 57.0, 5
18.76, 18.39, 39.81, 54.12, 0.0, 8
18.76, 18.39, 54.12, 73.56, 0.0, 4
18.76, 18.39, 73.56, 100.0, 0.0, 3
19.14, 18.76, 2.51, 3.41, 0.0, 3
19.14, 18.76, 3.41, 4.64, 36.13281, 12
19.14, 18.76, 4.64, 6.31, 78.81944, 12
19.14, 18.76, 6.31, 8.58, 83.94531, 8
19.14, 18.76, 8.58, 11.66, 96.5625, 8
19.14, 18.76, 11.66, 15.85, 96.5625, 8
19.14, 18.76, 15.85, 21.54, 64.30556, 9
19.14, 18.76, 21.54, 29.29, 48.04688, 8
19.14, 18.76, 29.29, 39.81, 27.1875, 10
19.14, 18.76, 39.81, 54.12, 0.0, 5
19.14, 18.76, 54.12, 73.56, 0.0, 7
19.14, 18.76, 73.56, 100.0, Nan,  0
19.52, 19.14, 2.51, 3.41, 12.5, 5
19.52, 19.14, 3.41, 4.64, 46.875, 11
19.52, 19.14, 4.64, 6.31, 93.33333, 9
19.52, 19.14, 6.31, 8.58, 95.72917, 16
19.52, 19.14, 8.58, 11.66, 95.78125, 14
19.52, 19.14, 11.66, 15.85, 96.25, 7
19.52, 19.14, 15.85, 21.54, 47.44792, 12
19.52, 19.14, 21.54, 29.29, 57.22656, 8
19.52, 19.14, 29.29, 39.81, 15.78125, 8
19.52, 19.14, 39.81, 54.12, 0.0, 5
19.52, 19.14, 54.12, 73.56, 0.0, 5
19.52, 19.14, 73.56, 100.0, 0.0, 1
19.89, 19.52, 2.51, 3.41, 8.40774, 7
19.89, 19.52, 3.41, 4.64, 46.70455, 11
19.89, 19.52, 4.64, 6.31, 92.60417, 11
19.89, 19.52, 6.31, 8.58, 94.89583, 6
19.89, 19.52, 8.58, 11.66, 94.84375, 8
19.89, 19.52, 11.66, 15.85, 86.07955, 11
19.89, 19.52, 15.85, 21.54, 21.79688, 8
19.89, 19.52, 21.54, 29.29, 0.0, 5
19.89, 19.52, 29.29, 39.81, 3.51852, 9
19.89, 19.52, 39.81, 54.12, 0.0, 8
19.89, 19.52, 54.12, 73.56, 0.0, 5
19.89, 19.52, 73.56, 100.0, Nan,  0
20.27, 19.89, 2.51, 3.41, 23.25, 10
20.27, 19.89, 3.41, 4.64, 64.97396, 6
20.27, 19.89, 4.64, 6.31, 91.77083, 11
20.27, 19.89, 6.31, 8.58, 91.45833, 6
20.27, 19.89, 8.58, 11.66, 80.25391, 8
20.27, 19.89, 11.66, 15.85, 71.96429, 14
20.27, 19.89, 15.85, 21.54, 20.5303, 11
20.27, 19.89, 21.54, 29.29, 2.23558, 13
20.27, 19.89, 29.29, 39.81, 0.0, 7
20.27, 19.89, 39.81, 54.12, 0.0, 11
20.27, 19.89, 54.12, 73.56, 0.0, 1
20.27, 19.89, 73.56, 100.0, Nan,  0
20.65, 20.27, 2.51, 3.41, 20.58333, 5
20.65, 20.27, 3.41, 4.64, 54.375, 4
20.65, 20.27, 4.64, 6.31, 68.92361, 6
20.65, 20.27, 6.31, 8.58, 77.8125, 8
20.65, 20.27, 8.58, 11.66, 61.58854, 6
20.65, 20.27, 11.66, 15.85, 27.70833, 6
20.65, 20.27, 15.85, 21.54, 3.58631, 7
20.65, 20.27, 21.54, 29.29, 0.0, 4
20.65, 20.27, 29.29, 39.81, 0.0, 2
20.65, 20.27, 39.81, 54.12, 0.0, 5
20.65, 20.27, 54.12, 73.56, 0.0, 1
20.65, 20.27, 73.56, 100.0, Nan,  0
21.02, 20.65, 2.51, 3.41, 21.5, 5
21.02, 20.65, 3.41, 4.64, 45.20089, 7
21.02, 20.65, 4.64, 6.31, 58.85417, 3
