#Column 1: lower magnitude range of bin in apparent g magnitude 
#Column 2: upper magnitude range of bin in apparent g magnitude 
#Column 3: lower effective magnitude range in arcseconds 
#Column 4: upper effective magnitude range in arcseconds 
#Column 5: Combined algorithm and visual inspection recovery fraction within this range in percentage from 0 to 100 
# A value of Nan means no artificial galaxies were injected for visual inspection within this bin 
#Column 6: Number of artificial galaxies injected for visual inspection within this bin 
l_mag, h_mag, l_e_r, h_e_r, eff_rd 
16.13, 15.75, 2.51, 3.41, 0.0, 1
16.13, 15.75, 3.41, 4.64, Nan,  0
16.13, 15.75, 4.64, 6.31, Nan,  0
16.13, 15.75, 6.31, 8.58, Nan,  0
16.13, 15.75, 8.58, 11.66, Nan,  0
16.13, 15.75, 11.66, 15.85, 16.27315, 6
16.13, 15.75, 15.85, 21.54, 24.58333, 4
16.13, 15.75, 21.54, 29.29, Nan,  0
16.13, 15.75, 29.29, 39.81, 98.95833, 1
16.13, 15.75, 39.81, 54.12, 33.10185, 3
16.13, 15.75, 54.12, 73.56, Nan,  0
16.13, 15.75, 73.56, 100.0, Nan,  0
16.5, 16.13, 2.51, 3.41, Nan,  0
16.5, 16.13, 3.41, 4.64, 0.0, 1
16.5, 16.13, 4.64, 6.31, Nan,  0
16.5, 16.13, 6.31, 8.58, 0.0, 1
16.5, 16.13, 8.58, 11.66, 0.0, 8
16.5, 16.13, 11.66, 15.85, 0.0, 7
16.5, 16.13, 15.85, 21.54, 49.23611, 6
16.5, 16.13, 21.54, 29.29, 74.53125, 4
16.5, 16.13, 29.29, 39.81, 74.21875, 4
16.5, 16.13, 39.81, 54.12, 65.74074, 3
16.5, 16.13, 54.12, 73.56, 66.66667, 3
16.5, 16.13, 73.56, 100.0, 19.86111, 5
16.88, 16.5, 2.51, 3.41, 0.0, 2
16.88, 16.5, 3.41, 4.64, 0.0, 1
16.88, 16.5, 4.64, 6.31, Nan,  0
16.88, 16.5, 6.31, 8.58, 0.0, 4
16.88, 16.5, 8.58, 11.66, 0.0, 7
16.88, 16.5, 11.66, 15.85, 55.95238, 7
16.88, 16.5, 15.85, 21.54, 98.75, 5
16.88, 16.5, 21.54, 29.29, 78.66667, 5
16.88, 16.5, 29.29, 39.81, 98.95833, 5
16.88, 16.5, 39.81, 54.12, 78.61111, 5
16.88, 16.5, 54.12, 73.56, 49.21875, 4
16.88, 16.5, 73.56, 100.0, 0.0, 1
17.26, 16.88, 2.51, 3.41, 0.0, 1
17.26, 16.88, 3.41, 4.64, 0.0, 2
17.26, 16.88, 4.64, 6.31, 0.0, 1
17.26, 16.88, 6.31, 8.58, 0.0, 4
17.26, 16.88, 8.58, 11.66, 42.05357, 7
17.26, 16.88, 11.66, 15.85, 98.47222, 4
17.26, 16.88, 15.85, 21.54, 73.54167, 4
17.26, 16.88, 21.54, 29.29, 98.75, 4
17.26, 16.88, 29.29, 39.81, 98.61111, 9
17.26, 16.88, 39.81, 54.12, 59.375, 5
17.26, 16.88, 54.12, 73.56, 49.73958, 6
17.26, 16.88, 73.56, 100.0, 0.0, 4
17.63, 17.26, 2.51, 3.41, 0.0, 3
17.63, 17.26, 3.41, 4.64, Nan,  0
17.63, 17.26, 4.64, 6.31, 0.0, 11
17.63, 17.26, 6.31, 8.58, 0.0, 6
17.63, 17.26, 8.58, 11.66, 32.77778, 6
17.63, 17.26, 11.66, 15.85, 73.22917, 4
17.63, 17.26, 15.85, 21.54, 65.55556, 12
17.63, 17.26, 21.54, 29.29, 98.33333, 5
17.63, 17.26, 29.29, 39.81, 97.56944, 5
17.63, 17.26, 39.81, 54.12, 24.82639, 8
17.63, 17.26, 54.12, 73.56, 14.0625, 7
17.63, 17.26, 73.56, 100.0, 0.0, 1
18.01, 17.63, 2.51, 3.41, 0.0, 8
18.01, 17.63, 3.41, 4.64, 0.0, 5
18.01, 17.63, 4.64, 6.31, 0.0, 6
18.01, 17.63, 6.31, 8.58, 32.26852, 6
18.01, 17.63, 8.58, 11.66, 48.95833, 8
18.01, 17.63, 11.66, 15.85, 97.22222, 5
18.01, 17.63, 15.85, 21.54, 97.91667, 9
18.01, 17.63, 21.54, 29.29, 89.0625, 10
18.01, 17.63, 29.29, 39.81, 49.13194, 4
18.01, 17.63, 39.81, 54.12, 42.2619, 7
18.01, 17.63, 54.12, 73.56, 0.0, 2
18.01, 17.63, 73.56, 100.0, 0.0, 1
18.39, 18.01, 2.51, 3.41, 0.0, 3
18.39, 18.01, 3.41, 4.64, 0.0, 5
18.39, 18.01, 4.64, 6.31, 0.0, 5
18.39, 18.01, 6.31, 8.58, 49.02778, 8
18.39, 18.01, 8.58, 11.66, 58.5, 5
18.39, 18.01, 11.66, 15.85, 48.47222, 8
18.39, 18.01, 15.85, 21.54, 78.0, 5
18.39, 18.01, 21.54, 29.29, 68.54167, 10
18.39, 18.01, 29.29, 39.81, 32.40741, 6
18.39, 18.01, 39.81, 54.12, 10.95679, 9
18.39, 18.01, 54.12, 73.56, 0.0, 8
18.39, 18.01, 73.56, 100.0, 0.0, 5
18.76, 18.39, 2.51, 3.41, 0.0, 4
18.76, 18.39, 3.41, 4.64, 13.61111, 6
18.76, 18.39, 4.64, 6.31, 40.29762, 7
18.76, 18.39, 6.31, 8.58, 60.59028, 8
18.76, 18.39, 8.58, 11.66, 89.20455, 11
18.76, 18.39, 11.66, 15.85, 81.48148, 6
18.76, 18.39, 15.85, 21.54, 70.2381, 7
18.76, 18.39, 21.54, 29.29, 67.64423, 13
18.76, 18.39, 29.29, 39.81, 58.75, 5
18.76, 18.39, 39.81, 54.12, 0.0, 8
18.76, 18.39, 54.12, 73.56, 0.0, 4
18.76, 18.39, 73.56, 100.0, 0.0, 3
19.14, 18.76, 2.51, 3.41, 0.0, 3
19.14, 18.76, 3.41, 4.64, 0.0, 12
19.14, 18.76, 4.64, 6.31, 38.59954, 12
19.14, 18.76, 6.31, 8.58, 35.78125, 8
19.14, 18.76, 8.58, 11.66, 97.91667, 8
19.14, 18.76, 11.66, 15.85, 84.46181, 8
19.14, 18.76, 15.85, 21.54, 54.70679, 9
19.14, 18.76, 21.54, 29.29, 48.125, 8
19.14, 18.76, 29.29, 39.81, 19.30556, 10
19.14, 18.76, 39.81, 54.12, 0.0, 5
19.14, 18.76, 54.12, 73.56, 0.0, 7
19.14, 18.76, 73.56, 100.0, Nan,  0
19.52, 19.14, 2.51, 3.41, 0.0, 5
19.52, 19.14, 3.41, 4.64, 7.4053, 11
19.52, 19.14, 4.64, 6.31, 52.46914, 9
19.52, 19.14, 6.31, 8.58, 53.98438, 16
19.52, 19.14, 8.58, 11.66, 76.77083, 14
19.52, 19.14, 11.66, 15.85, 96.66667, 7
19.52, 19.14, 15.85, 21.54, 32.4537, 12
19.52, 19.14, 21.54, 29.29, 36.79688, 8
19.52, 19.14, 29.29, 39.81, 0.0, 8
19.52, 19.14, 39.81, 54.12, 0.0, 5
19.52, 19.14, 54.12, 73.56, 0.0, 5
19.52, 19.14, 73.56, 100.0, 0.0, 1
19.89, 19.52, 2.51, 3.41, 0.0, 7
19.89, 19.52, 3.41, 4.64, 7.34848, 11
19.89, 19.52, 4.64, 6.31, 60.27778, 11
19.89, 19.52, 6.31, 8.58, 64.44444, 6
19.89, 19.52, 8.58, 11.66, 83.67188, 8
19.89, 19.52, 11.66, 15.85, 43.56061, 11
19.89, 19.52, 15.85, 21.54, 11.75347, 8
19.89, 19.52, 21.54, 29.29, 0.0, 5
19.89, 19.52, 29.29, 39.81, 0.0, 9
19.89, 19.52, 39.81, 54.12, 0.0, 8
19.89, 19.52, 54.12, 73.56, 0.0, 5
19.89, 19.52, 73.56, 100.0, Nan,  0
20.27, 19.89, 2.51, 3.41, 10.66667, 10
20.27, 19.89, 3.41, 4.64, 13.54167, 6
20.27, 19.89, 4.64, 6.31, 41.7298, 11
20.27, 19.89, 6.31, 8.58, 31.75926, 6
20.27, 19.89, 8.58, 11.66, 59.24479, 8
20.27, 19.89, 11.66, 15.85, 60.98214, 14
20.27, 19.89, 15.85, 21.54, 7.89141, 11
20.27, 19.89, 21.54, 29.29, 0.0, 13
20.27, 19.89, 29.29, 39.81, 0.0, 7
20.27, 19.89, 39.81, 54.12, 0.0, 11
20.27, 19.89, 54.12, 73.56, 0.0, 1
20.27, 19.89, 73.56, 100.0, Nan,  0
20.65, 20.27, 2.51, 3.41, 0.0, 5
20.65, 20.27, 3.41, 4.64, 0.0, 4
20.65, 20.27, 4.64, 6.31, 14.60648, 6
20.65, 20.27, 6.31, 8.58, 56.59722, 8
20.65, 20.27, 8.58, 11.66, 45.3125, 6
20.65, 20.27, 11.66, 15.85, 41.38889, 6
20.65, 20.27, 15.85, 21.54, 0.0, 7
20.65, 20.27, 21.54, 29.29, 0.0, 4
20.65, 20.27, 29.29, 39.81, 0.0, 2
20.65, 20.27, 39.81, 54.12, 0.0, 5
20.65, 20.27, 54.12, 73.56, 0.0, 1
20.65, 20.27, 73.56, 100.0, Nan,  0
21.02, 20.65, 2.51, 3.41, 0.0, 5
21.02, 20.65, 3.41, 4.64, 9.97024, 7
21.02, 20.65, 4.64, 6.31, 53.33333, 3
