#Column 1: lower magnitude range of bin in apparent g magnitude 
#Column 2: upper magnitude range of bin in apparent g magnitude 
#Column 3: lower effective magnitude range in arcseconds 
#Column 4: upper effective magnitude range in arcseconds 
#Column 5: Combined algorithm and visual inspection recovery fraction within this range in percentage from 0 to 100 
# A value of Nan means no artificial galaxies were injected for visual inspection within this bin 
#Column 6: Number of artificial galaxies injected for visual inspection within this bin 
l_mag, h_mag, l_e_r, h_e_r, eff_rd 
16.13, 15.75, 2.51, 3.41, 0.0, 1
16.13, 15.75, 3.41, 4.64, Nan,  0
16.13, 15.75, 4.64, 6.31, Nan,  0
16.13, 15.75, 6.31, 8.58, Nan,  0
16.13, 15.75, 8.58, 11.66, Nan,  0
16.13, 15.75, 11.66, 15.85, 0.0, 6
16.13, 15.75, 15.85, 21.54, 0.0, 4
16.13, 15.75, 21.54, 29.29, Nan,  0
16.13, 15.75, 29.29, 39.81, 0.0, 1
16.13, 15.75, 39.81, 54.12, 0.0, 3
16.13, 15.75, 54.12, 73.56, Nan,  0
16.13, 15.75, 73.56, 100.0, Nan,  0
16.5, 16.13, 2.51, 3.41, Nan,  0
16.5, 16.13, 3.41, 4.64, 0.0, 1
16.5, 16.13, 4.64, 6.31, Nan,  0
16.5, 16.13, 6.31, 8.58, 0.0, 1
16.5, 16.13, 8.58, 11.66, 0.0, 8
16.5, 16.13, 11.66, 15.85, 0.0, 7
16.5, 16.13, 15.85, 21.54, 47.84722, 6
16.5, 16.13, 21.54, 29.29, 72.8125, 4
16.5, 16.13, 29.29, 39.81, 71.09375, 4
16.5, 16.13, 39.81, 54.12, 64.81481, 3
16.5, 16.13, 54.12, 73.56, 64.58333, 3
16.5, 16.13, 73.56, 100.0, 19.44444, 5
16.88, 16.5, 2.51, 3.41, 0.0, 2
16.88, 16.5, 3.41, 4.64, 0.0, 1
16.88, 16.5, 4.64, 6.31, Nan,  0
16.88, 16.5, 6.31, 8.58, 0.0, 4
16.88, 16.5, 8.58, 11.66, 0.0, 7
16.88, 16.5, 11.66, 15.85, 53.88889, 7
16.88, 16.5, 15.85, 21.54, 95.41667, 5
16.88, 16.5, 21.54, 29.29, 76.66667, 5
16.88, 16.5, 29.29, 39.81, 93.40278, 5
16.88, 16.5, 39.81, 54.12, 78.05556, 5
16.88, 16.5, 54.12, 73.56, 48.4375, 4
16.88, 16.5, 73.56, 100.0, 0.0, 1
17.26, 16.88, 2.51, 3.41, 0.0, 1
17.26, 16.88, 3.41, 4.64, 0.0, 2
17.26, 16.88, 4.64, 6.31, 0.0, 1
17.26, 16.88, 6.31, 8.58, 0.0, 4
17.26, 16.88, 8.58, 11.66, 40.80357, 7
17.26, 16.88, 11.66, 15.85, 94.02778, 4
17.26, 16.88, 15.85, 21.54, 71.77083, 4
17.26, 16.88, 21.54, 29.29, 96.875, 4
17.26, 16.88, 29.29, 39.81, 96.18056, 9
17.26, 16.88, 39.81, 54.12, 58.33333, 5
17.26, 16.88, 54.12, 73.56, 48.95833, 6
17.26, 16.88, 73.56, 100.0, 0.0, 4
17.63, 17.26, 2.51, 3.41, 0.0, 3
17.63, 17.26, 3.41, 4.64, Nan,  0
17.63, 17.26, 4.64, 6.31, 0.0, 11
17.63, 17.26, 6.31, 8.58, 0.0, 6
17.63, 17.26, 8.58, 11.66, 31.94444, 6
17.63, 17.26, 11.66, 15.85, 70.52083, 4
17.63, 17.26, 15.85, 21.54, 63.05556, 12
17.63, 17.26, 21.54, 29.29, 96.45833, 5
17.63, 17.26, 29.29, 39.81, 94.79167, 5
17.63, 17.26, 39.81, 54.12, 24.04514, 8
17.63, 17.26, 54.12, 73.56, 13.46726, 7
17.63, 17.26, 73.56, 100.0, 0.0, 1
18.01, 17.63, 2.51, 3.41, 0.0, 8
18.01, 17.63, 3.41, 4.64, 0.0, 5
18.01, 17.63, 4.64, 6.31, 0.0, 6
18.01, 17.63, 6.31, 8.58, 31.48148, 6
18.01, 17.63, 8.58, 11.66, 47.5, 8
18.01, 17.63, 11.66, 15.85, 93.61111, 5
18.01, 17.63, 15.85, 21.54, 94.02778, 9
18.01, 17.63, 21.54, 29.29, 85.875, 10
18.01, 17.63, 29.29, 39.81, 47.74306, 4
18.01, 17.63, 39.81, 54.12, 41.36905, 7
18.01, 17.63, 54.12, 73.56, 0.0, 2
18.01, 17.63, 73.56, 100.0, 0.0, 1
18.39, 18.01, 2.51, 3.41, 0.0, 3
18.39, 18.01, 3.41, 4.64, 0.0, 5
18.39, 18.01, 4.64, 6.31, 0.0, 5
18.39, 18.01, 6.31, 8.58, 46.80556, 8
18.39, 18.01, 8.58, 11.66, 56.25, 5
18.39, 18.01, 11.66, 15.85, 46.66667, 8
18.39, 18.01, 15.85, 21.54, 76.0, 5
18.39, 18.01, 21.54, 29.29, 65.33333, 10
18.39, 18.01, 29.29, 39.81, 32.40741, 6
18.39, 18.01, 39.81, 54.12, 10.18519, 9
18.39, 18.01, 54.12, 73.56, 0.0, 8
18.39, 18.01, 73.56, 100.0, 0.0, 5
18.76, 18.39, 2.51, 3.41, 0.0, 4
18.76, 18.39, 3.41, 4.64, 14.47917, 6
18.76, 18.39, 4.64, 6.31, 39.04762, 7
18.76, 18.39, 6.31, 8.58, 58.59375, 8
18.76, 18.39, 8.58, 11.66, 85.22727, 11
18.76, 18.39, 11.66, 15.85, 77.5463, 6
18.76, 18.39, 15.85, 21.54, 67.65873, 7
18.76, 18.39, 21.54, 29.29, 65.04808, 13
18.76, 18.39, 29.29, 39.81, 56.66667, 5
18.76, 18.39, 39.81, 54.12, 0.0, 8
18.76, 18.39, 54.12, 73.56, 0.0, 4
18.76, 18.39, 73.56, 100.0, 0.0, 3
19.14, 18.76, 2.51, 3.41, 0.0, 3
19.14, 18.76, 3.41, 4.64, 0.0, 12
19.14, 18.76, 4.64, 6.31, 38.42593, 12
19.14, 18.76, 6.31, 8.58, 34.58333, 8
19.14, 18.76, 8.58, 11.66, 94.58333, 8
19.14, 18.76, 11.66, 15.85, 83.00347, 8
19.14, 18.76, 15.85, 21.54, 51.54321, 9
19.14, 18.76, 21.54, 29.29, 46.5625, 8
19.14, 18.76, 29.29, 39.81, 18.19444, 10
19.14, 18.76, 39.81, 54.12, 0.0, 5
19.14, 18.76, 54.12, 73.56, 0.0, 7
19.14, 18.76, 73.56, 100.0, Nan,  0
19.52, 19.14, 2.51, 3.41, 0.0, 5
19.52, 19.14, 3.41, 4.64, 7.80303, 11
19.52, 19.14, 4.64, 6.31, 49.6142, 9
19.52, 19.14, 6.31, 8.58, 51.5625, 16
19.52, 19.14, 8.58, 11.66, 71.53274, 14
19.52, 19.14, 11.66, 15.85, 94.30556, 7
19.52, 19.14, 15.85, 21.54, 31.62037, 12
19.52, 19.14, 21.54, 29.29, 33.51563, 8
19.52, 19.14, 29.29, 39.81, 0.0, 8
19.52, 19.14, 39.81, 54.12, 0.0, 5
19.52, 19.14, 54.12, 73.56, 0.0, 5
19.52, 19.14, 73.56, 100.0, 0.0, 1
19.89, 19.52, 2.51, 3.41, 0.0, 7
19.89, 19.52, 3.41, 4.64, 7.78409, 11
19.89, 19.52, 4.64, 6.31, 57.27273, 11
19.89, 19.52, 6.31, 8.58, 61.11111, 6
19.89, 19.52, 8.58, 11.66, 80.9375, 8
19.89, 19.52, 11.66, 15.85, 41.60354, 11
19.89, 19.52, 15.85, 21.54, 11.14583, 8
19.89, 19.52, 21.54, 29.29, 0.0, 5
19.89, 19.52, 29.29, 39.81, 0.0, 9
19.89, 19.52, 39.81, 54.12, 0.0, 8
19.89, 19.52, 54.12, 73.56, 0.0, 5
19.89, 19.52, 73.56, 100.0, Nan,  0
20.27, 19.89, 2.51, 3.41, 12.72222, 10
20.27, 19.89, 3.41, 4.64, 13.47222, 6
20.27, 19.89, 4.64, 6.31, 39.77273, 11
20.27, 19.89, 6.31, 8.58, 29.12037, 6
20.27, 19.89, 8.58, 11.66, 55.33854, 8
20.27, 19.89, 11.66, 15.85, 55.71429, 14
20.27, 19.89, 15.85, 21.54, 6.43939, 11
20.27, 19.89, 21.54, 29.29, 0.0, 13
20.27, 19.89, 29.29, 39.81, 0.0, 7
20.27, 19.89, 39.81, 54.12, 0.0, 11
20.27, 19.89, 54.12, 73.56, 0.0, 1
20.27, 19.89, 73.56, 100.0, Nan,  0
20.65, 20.27, 2.51, 3.41, 0.0, 5
20.65, 20.27, 3.41, 4.64, 0.0, 4
20.65, 20.27, 4.64, 6.31, 13.44907, 6
20.65, 20.27, 6.31, 8.58, 51.47569, 8
20.65, 20.27, 8.58, 11.66, 38.95833, 6
20.65, 20.27, 11.66, 15.85, 34.30556, 6
20.65, 20.27, 15.85, 21.54, 0.0, 7
20.65, 20.27, 21.54, 29.29, 0.0, 4
20.65, 20.27, 29.29, 39.81, 0.0, 2
20.65, 20.27, 39.81, 54.12, 0.0, 5
20.65, 20.27, 54.12, 73.56, 0.0, 1
20.65, 20.27, 73.56, 100.0, Nan,  0
21.02, 20.65, 2.51, 3.41, 0.0, 5
21.02, 20.65, 3.41, 4.64, 9.375, 7
21.02, 20.65, 4.64, 6.31, 44.90741, 3
