mag_low, mag_high, arc_down, arc_up, eff
16.12667, 15.75, 2.51189, 3.41455, 0.0
16.12667, 15.75, 3.41455, 4.64159, Nan 
16.12667, 15.75, 4.64159, 6.30957, Nan 
16.12667, 15.75, 6.30957, 8.57696, Nan 
16.12667, 15.75, 8.57696, 11.65914, Nan 
16.12667, 15.75, 11.65914, 15.84893, 0.0
16.12667, 15.75, 15.84893, 21.54435, 0.0
16.12667, 15.75, 21.54435, 29.28645, Nan 
16.12667, 15.75, 29.28645, 39.81072, 0.0
16.12667, 15.75, 39.81072, 54.11695, 0.0
16.12667, 15.75, 54.11695, 73.56423, Nan 
16.12667, 15.75, 73.56423, 100.0, Nan 
16.50333, 16.12667, 2.51189, 3.41455, Nan 
16.50333, 16.12667, 3.41455, 4.64159, 0.0
16.50333, 16.12667, 4.64159, 6.30957, Nan 
16.50333, 16.12667, 6.30957, 8.57696, 0.0
16.50333, 16.12667, 8.57696, 11.65914, 0.0
16.50333, 16.12667, 11.65914, 15.84893, 0.0
16.50333, 16.12667, 15.84893, 21.54435, 47.15278
16.50333, 16.12667, 21.54435, 29.28645, 71.09375
16.50333, 16.12667, 29.28645, 39.81072, 72.65625
16.50333, 16.12667, 39.81072, 54.11695, 64.12037
16.50333, 16.12667, 54.11695, 73.56423, 64.58333
16.50333, 16.12667, 73.56423, 100.0, 19.58333
16.88, 16.50333, 2.51189, 3.41455, 0.0
16.88, 16.50333, 3.41455, 4.64159, 0.0
16.88, 16.50333, 4.64159, 6.30957, Nan 
16.88, 16.50333, 6.30957, 8.57696, 0.0
16.88, 16.50333, 8.57696, 11.65914, 0.0
16.88, 16.50333, 11.65914, 15.84893, 53.96825
16.88, 16.50333, 15.84893, 21.54435, 93.47222
16.88, 16.50333, 21.54435, 29.28645, 75.0
16.88, 16.50333, 29.28645, 39.81072, 95.83333
16.88, 16.50333, 39.81072, 54.11695, 77.5
16.88, 16.50333, 54.11695, 73.56423, 48.95833
16.88, 16.50333, 73.56423, 100.0, 0.0
17.25667, 16.88, 2.51189, 3.41455, 0.0
17.25667, 16.88, 3.41455, 4.64159, 0.0
17.25667, 16.88, 4.64159, 6.30957, Nan 
17.25667, 16.88, 6.30957, 8.57696, 0.0
17.25667, 16.88, 8.57696, 11.65914, 39.82143
17.25667, 16.88, 11.65914, 15.84893, 93.88889
17.25667, 16.88, 15.84893, 21.54435, 70.3125
17.25667, 16.88, 21.54435, 29.28645, 93.125
17.25667, 16.88, 29.28645, 39.81072, 96.875
17.25667, 16.88, 39.81072, 54.11695, 57.29167
17.25667, 16.88, 54.11695, 73.56423, 47.13542
17.25667, 16.88, 73.56423, 100.0, 0.0
17.63333, 17.25667, 2.51189, 3.41455, 0.0
17.63333, 17.25667, 3.41455, 4.64159, 0.0
17.63333, 17.25667, 4.64159, 6.30957, 0.0
17.63333, 17.25667, 6.30957, 8.57696, 0.0
17.63333, 17.25667, 8.57696, 11.65914, 31.18056
17.63333, 17.25667, 11.65914, 15.84893, 70.10417
17.63333, 17.25667, 15.84893, 21.54435, 63.14815
17.63333, 17.25667, 21.54435, 29.28645, 93.95833
17.63333, 17.25667, 29.28645, 39.81072, 95.13889
17.63333, 17.25667, 39.81072, 54.11695, 23.78472
17.63333, 17.25667, 54.11695, 73.56423, 13.76488
